,date,snow,price
751,2018-01-19,0,6346
752,2018-01-22,0,6843
753,2018-01-23,0.4,6851
754,2018-01-24,0,6962
755,2018-01-25,0,7052
756,2018-01-26,0,7129
757,2018-01-29,0,7893
758,2018-01-30,0,8337
759,2018-01-31,0,8465
760,2018-02-01,0,8442
761,2018-02-02,0.5,8581
762,2018-02-05,0,8656
763,2018-02-06,0.3,8472
764,2018-02-07,0,8277
765,2018-02-08,0,8083
766,2018-02-09,0,8033
767,2018-02-12,5.6,8431
768,2018-02-13,1.6,8600
769,2018-02-14,0,8625
770,2018-02-19,0,8117
771,2018-02-20,0,8071
772,2018-02-21,0,8216
773,2018-02-22,0,8416
774,2018-02-23,0.5,8491
775,2018-02-26,0,8497
776,2018-02-27,0,8571
777,2018-02-28,0,8634
778,2018-03-02,0,8563
779,2018-03-05,0,8844
780,2018-03-06,0,8716
781,2018-03-07,0,8454
782,2018-03-08,1.4,8134
783,2018-03-09,0,7846
784,2018-03-12,0,6819
785,2018-03-13,0,6423
786,2018-03-14,0,6073
787,2018-03-15,0,5918
788,2018-03-16,0,5862
789,2018-03-19,0,5745
790,2018-03-20,0,5750
791,2018-03-21,1.3,5597
792,2018-03-22,0,5472
793,2018-03-23,0,5464
794,2018-03-26,0,5109
795,2018-03-27,0,5043
796,2018-03-28,0,4965
797,2018-03-29,0,4861
798,2018-03-30,0,4798
799,2018-04-02,0,4726
800,2018-04-03,0,4657
801,2018-04-04,0,4588
802,2018-04-05,0,4556
803,2018-04-06,0,4553
804,2018-04-09,0,4385
805,2018-04-10,0,4508
806,2018-04-11,0,4589
807,2018-04-12,0,4619
808,2018-04-13,0,4723
809,2018-04-16,0,4941
810,2018-04-17,0,5000
811,2018-04-18,0,5057
812,2018-04-19,0,5068
813,2018-04-20,0,5064
814,2018-04-23,0,5088
815,2018-04-24,0,5090
816,2018-04-25,0,5076
817,2018-04-26,0,5101
818,2018-04-27,0,5142
819,2018-04-30,0,5268
820,2018-05-02,0,5319
821,2018-05-03,0,5371
822,2018-05-04,0,5450
823,2018-05-08,0,5306
824,2018-05-09,0,5269
825,2018-05-10,0,5249
826,2018-05-11,0,5168
827,2018-05-14,0,4659
828,2018-05-15,0,4547
829,2018-05-16,0,4445
830,2018-05-17,0,4333
831,2018-05-18,0,4268
832,2018-05-21,0,4135
833,2018-05-23,0,4147
834,2018-05-24,0,4174
835,2018-05-25,0,4189
836,2018-05-28,0,4103
837,2018-05-29,0,4043
838,2018-05-30,0,4021
839,2018-05-31,0,4053
840,2018-06-01,0,4066
841,2018-06-04,0,3907
842,2018-06-05,0,3948
843,2018-06-07,0,3978
844,2018-06-08,0,3998
845,2018-06-11,0,3872
846,2018-06-12,0,3775
847,2018-06-14,0,3561
848,2018-06-15,0,3545
849,2018-06-18,0,3658
850,2018-06-19,0,3659
851,2018-06-20,0,3679
852,2018-06-21,0,3720
853,2018-06-22,0,3701
854,2018-06-25,0,3617
855,2018-06-26,0,3630
856,2018-06-27,0,3623
857,2018-06-28,0,3640
858,2018-06-29,0,3652
859,2018-07-02,0,3673
860,2018-07-03,0,3623
861,2018-07-04,0,3618
862,2018-07-05,0,3631
863,2018-07-06,0,3644
864,2018-07-09,0,3694
865,2018-07-10,0,3800
866,2018-07-11,0,3915
867,2018-07-12,0,3992
868,2018-07-13,0,4049
869,2018-07-16,0,4247
870,2018-07-17,0,4244
871,2018-07-18,0,4266
872,2018-07-19,0,4307
873,2018-07-20,0,4251
874,2018-07-23,0,4069
875,2018-07-24,0,4078
876,2018-07-25,0,4135
