,date,sun,price,date
231,2015-12-07,8.16,5234,2015-12-07
232,2015-12-08,9.3,5160,2015-12-08
233,2015-12-09,6.95,5091,2015-12-09
234,2015-12-10,1.57,4969,2015-12-10
235,2015-12-11,4.17,4863,2015-12-11
236,2015-12-14,1.14,4779,2015-12-14
237,2015-12-15,4.69,4728,2015-12-15
238,2015-12-16,4.26,4664,2015-12-16
239,2015-12-17,10.06,4627,2015-12-17
240,2015-12-18,4.94,4636,2015-12-18
241,2015-12-21,3.28,4532,2015-12-21
242,2015-12-22,6.35,4544,2015-12-22
243,2015-12-23,1.43,4563,2015-12-23
244,2015-12-24,5.09,4647,2015-12-24
245,2015-12-28,9.31,4822,2015-12-28
246,2015-12-29,8.25,4860,2015-12-29
247,2015-12-30,8.58,5005,2015-12-30
248,2015-12-31,5.32,5105,2015-12-31
249,2016-01-04,7.85,5766,2016-01-04
250,2016-01-05,7.38,5873,2016-01-05
251,2016-01-06,6.26,6000,2016-01-06
252,2016-01-07,8.97,6050,2016-01-07
253,2016-01-08,9.72,5993,2016-01-08
254,2016-01-11,9.76,6050,2016-01-11
255,2016-01-12,10.2,6029,2016-01-12
256,2016-01-13,7.01,6032,2016-01-13
257,2016-01-14,10.21,5991,2016-01-14
258,2016-01-15,8.2,5975,2016-01-15
259,2016-01-18,4.71,5840,2016-01-18
260,2016-01-19,8.53,5775,2016-01-19
261,2016-01-20,8.27,5685,2016-01-20
262,2016-01-21,8.2,5688,2016-01-21
263,2016-01-22,10.86,5764,2016-01-22
264,2016-01-25,12.67,6339,2016-01-25
265,2016-01-26,7.75,6547,2016-01-26
266,2016-01-27,9.63,6701,2016-01-27
267,2016-01-28,3.36,7051,2016-01-28
268,2016-01-29,2.39,7537,2016-01-29
269,2016-02-01,12.83,7996,2016-02-01
270,2016-02-02,12.93,8031,2016-02-02
271,2016-02-03,11.88,8113,2016-02-03
272,2016-02-04,10.33,7986,2016-02-04
273,2016-02-05,11.74,7745,2016-02-05
274,2016-02-11,8.31,7714,2016-02-11
275,2016-02-12,1.74,7925,2016-02-12
276,2016-02-15,14.6,8584,2016-02-15
277,2016-02-16,7.81,8961,2016-02-16
278,2016-02-17,14.1,9216,2016-02-17
279,2016-02-18,10.76,9339,2016-02-18
280,2016-02-19,4,9321,2016-02-19
281,2016-02-22,9.2,9599,2016-02-22
282,2016-02-23,11.86,9594,2016-02-23
283,2016-02-24,15.26,9537,2016-02-24
284,2016-02-25,12.61,9508,2016-02-25
285,2016-02-26,9.12,9567,2016-02-26
286,2016-02-29,12.51,10452,2016-02-29
287,2016-03-02,16,9483,2016-03-02
288,2016-03-03,12.97,9485,2016-03-03
289,2016-03-04,4.19,9587,2016-03-04
290,2016-03-07,7.34,9499,2016-03-07
291,2016-03-08,5.6,9365,2016-03-08
292,2016-03-09,16.57,9249,2016-03-09
293,2016-03-10,18.56,9034,2016-03-10
294,2016-03-11,18.92,8741,2016-03-11
295,2016-03-14,12,7887,2016-03-14
296,2016-03-15,17.74,7764,2016-03-15
297,2016-03-16,16.78,7660,2016-03-16
298,2016-03-17,15.2,7380,2016-03-17
299,2016-03-18,6.34,7121,2016-03-18
300,2016-03-21,18.7,6524,2016-03-21
301,2016-03-22,19.15,6223,2016-03-22
302,2016-03-23,16.37,6175,2016-03-23
303,2016-03-24,19,5976,2016-03-24
304,2016-03-25,15.49,5747,2016-03-25
305,2016-03-28,20.49,5158,2016-03-28
306,2016-03-29,13.84,5078,2016-03-29
307,2016-03-30,19.73,4971,2016-03-30
308,2016-03-31,15.42,4852,2016-03-31
309,2016-04-01,20.57,4783,2016-04-01
310,2016-04-04,18.87,4764,2016-04-04
311,2016-04-05,22.5,4670,2016-04-05
312,2016-04-06,13.47,4455,2016-04-06
313,2016-04-07,11.29,4315,2016-04-07
314,2016-04-08,17.75,4283,2016-04-08
315,2016-04-11,22.27,4246,2016-04-11
316,2016-04-12,17.07,4225,2016-04-12
317,2016-04-14,14.93,4324,2016-04-14
318,2016-04-15,23.14,4407,2016-04-15
319,2016-04-18,21.23,4557,2016-04-18
320,2016-04-19,22.16,4573,2016-04-19
321,2016-04-20,8.52,4599,2016-04-20
322,2016-04-21,5.91,4625,2016-04-21
323,2016-04-22,20.32,4650,2016-04-22
324,2016-04-25,23.04,4685,2016-04-25
325,2016-04-26,22.17,4707,2016-04-26
326,2016-04-27,4.67,4753,2016-04-27
327,2016-04-28,17.06,4774,2016-04-28
328,2016-04-29,22.87,4814,2016-04-29
329,2016-05-02,19.99,4879,2016-05-02
330,2016-05-03,2.03,4930,2016-05-03
331,2016-05-04,26.56,4990,2016-05-04
332,2016-05-09,20.65,4849,2016-05-09
333,2016-05-10,3.14,4885,2016-05-10
334,2016-05-11,25.33,4883,2016-05-11
335,2016-05-12,26.06,4826,2016-05-12
336,2016-05-13,18.65,4721,2016-05-13
337,2016-05-16,25.44,4433,2016-05-16
338,2016-05-17,26.59,4357,2016-05-17
339,2016-05-18,26.64,4327,2016-05-18
340,2016-05-19,25.97,4260,2016-05-19
341,2016-05-20,26.17,4179,2016-05-20
342,2016-05-23,22.93,4288,2016-05-23
343,2016-05-24,6.62,4289,2016-05-24
344,2016-05-25,19.54,4269,2016-05-25
345,2016-05-26,17,4229,2016-05-26
346,2016-05-27,19.89,4190,2016-05-27
347,2016-05-30,26.06,3995,2016-05-30
348,2016-05-31,23.13,4013,2016-05-31
349,2016-06-01,26.12,4051,2016-06-01
350,2016-06-02,26.48,4012,2016-06-02
351,2016-06-03,23.59,3990,2016-06-03
352,2016-06-07,14.45,4004,2016-06-07
353,2016-06-08,19.04,3972,2016-06-08
354,2016-06-09,23.64,3926,2016-06-09
355,2016-06-10,23.93,3885,2016-06-10
356,2016-06-13,21.8,3652,2016-06-13
357,2016-06-14,21.62,3569,2016-06-14
358,2016-06-15,9.1,3506,2016-06-15
359,2016-06-16,14.87,3482,2016-06-16
360,2016-06-17,24.08,3530,2016-06-17
361,2016-06-20,21.04,3532,2016-06-20
362,2016-06-21,20.63,3533,2016-06-21
363,2016-06-22,16.11,3519,2016-06-22
364,2016-06-23,22.13,3489,2016-06-23
365,2016-06-24,6.84,3440,2016-06-24
366,2016-06-27,17.6,3296,2016-06-27
367,2016-06-28,20.73,3321,2016-06-28
368,2016-06-29,15.98,3376,2016-06-29
369,2016-06-30,13.54,3432,2016-06-30
370,2016-07-01,7.34,3450,2016-07-01
371,2016-07-04,3.42,3453,2016-07-04
372,2016-07-05,9.12,3475,2016-07-05
373,2016-07-06,13.67,3483,2016-07-06
374,2016-07-07,13.15,3462,2016-07-07
375,2016-07-08,20.61,3473,2016-07-08
376,2016-07-11,17.81,3619,2016-07-11
377,2016-07-12,10,3672,2016-07-12
378,2016-07-13,17.49,3745,2016-07-13
379,2016-07-14,12.87,3804,2016-07-14
380,2016-07-15,15.74,3886,2016-07-15
381,2016-07-18,14.38,3924,2016-07-18
382,2016-07-19,24.16,3982,2016-07-19
383,2016-07-20,23.62,3945,2016-07-20
384,2016-07-21,21.29,3850,2016-07-21
385,2016-07-22,25.29,3756,2016-07-22
386,2016-07-25,15.73,3678,2016-07-25
387,2016-07-26,21.02,3730,2016-07-26
388,2016-07-27,12.78,3768,2016-07-27
389,2016-07-28,22.15,3757,2016-07-28
390,2016-07-29,7.6,3823,2016-07-29
391,2016-08-01,17.31,3768,2016-08-01
392,2016-08-02,9.66,3768,2016-08-02
393,2016-08-03,14.4,3891,2016-08-03
394,2016-08-04,16.23,3968,2016-08-04
395,2016-08-05,20.34,3947,2016-08-05
396,2016-08-08,21.96,3724,2016-08-08
397,2016-08-09,18.01,3683,2016-08-09
398,2016-08-10,20.45,3706,2016-08-10
399,2016-08-11,22.35,3689,2016-08-11
400,2016-08-12,23.95,3607,2016-08-12
401,2016-08-16,18.83,3577,2016-08-16
402,2016-08-17,20.51,3524,2016-08-17
403,2016-08-18,17.93,3518,2016-08-18
404,2016-08-19,17.1,3608,2016-08-19
405,2016-08-22,22.46,3591,2016-08-22
406,2016-08-23,15.84,3611,2016-08-23
407,2016-08-24,21.43,3645,2016-08-24
408,2016-08-25,15.68,3726,2016-08-25
409,2016-08-26,3.4,3837,2016-08-26
410,2016-08-29,15.69,4400,2016-08-29
411,2016-08-30,5.17,4564,2016-08-30
412,2016-08-31,4.96,4635,2016-08-31
413,2016-09-01,16.75,4603,2016-09-01
414,2016-09-02,11.89,4673,2016-09-02
415,2016-09-05,12.9,4773,2016-09-05
416,2016-09-06,10.7,4829,2016-09-06
417,2016-09-07,10.81,4943,2016-09-07
418,2016-09-08,15.4,4988,2016-09-08
419,2016-09-09,14.54,4871,2016-09-09
420,2016-09-12,11.34,5165,2016-09-12
421,2016-09-13,17.37,5224,2016-09-13
422,2016-09-19,11.64,4106,2016-09-19
423,2016-09-20,19.91,3939,2016-09-20
424,2016-09-21,14.14,3806,2016-09-21
425,2016-09-22,16.54,3760,2016-09-22
426,2016-09-23,16.62,3699,2016-09-23
427,2016-09-26,8.62,3286,2016-09-26
428,2016-09-27,5.38,3197,2016-09-27
429,2016-09-28,12.91,3162,2016-09-28
430,2016-09-29,5.59,3133,2016-09-29
431,2016-09-30,4.09,3081,2016-09-30
432,2016-10-04,15.68,2883,2016-10-04
433,2016-10-05,6.56,2905,2016-10-05
434,2016-10-06,16.81,2967,2016-10-06
435,2016-10-07,12,3047,2016-10-07
436,2016-10-10,10.29,2955,2016-10-10
437,2016-10-11,11.01,2926,2016-10-11
438,2016-10-12,13.61,2992,2016-10-12
439,2016-10-13,11.01,3062,2016-10-13
440,2016-10-14,13.36,3103,2016-10-14
441,2016-10-17,12.81,3579,2016-10-17
442,2016-10-18,7.44,3638,2016-10-18
443,2016-10-19,11.98,3635,2016-10-19
444,2016-10-20,7.94,3634,2016-10-20
445,2016-10-21,5.32,3624,2016-10-21
446,2016-10-24,13.93,3576,2016-10-24
447,2016-10-25,4.83,3571,2016-10-25
448,2016-10-26,4.66,3565,2016-10-26
449,2016-10-27,6.87,3590,2016-10-27
450,2016-10-28,2.63,3662,2016-10-28
451,2016-10-31,1.95,3964,2016-10-31
452,2016-11-01,14.12,4077,2016-11-01
453,2016-11-02,13.23,4145,2016-11-02
454,2016-11-03,8.38,4185,2016-11-03
455,2016-11-04,10.93,4233,2016-11-04
456,2016-11-07,8.28,4258,2016-11-07
457,2016-11-08,11.19,4193,2016-11-08
458,2016-11-09,12.33,4148,2016-11-09
459,2016-11-10,4.81,4112,2016-11-10
460,2016-11-11,9.8,4087,2016-11-11
461,2016-11-14,8.45,4154,2016-11-14
462,2016-11-15,12.06,4151,2016-11-15
463,2016-11-16,8.77,4148,2016-11-16
464,2016-11-17,9.56,4206,2016-11-17
465,2016-11-18,5.35,4292,2016-11-18
466,2016-11-21,2.33,4360,2016-11-21
467,2016-11-22,5.1,4392,2016-11-22
468,2016-11-23,9.89,4409,2016-11-23
469,2016-11-24,11.17,4404,2016-11-24
470,2016-11-25,7.02,4372,2016-11-25
471,2016-11-28,9.75,4361,2016-11-28
472,2016-11-29,10.32,4474,2016-11-29
473,2016-11-30,4.6,4648,2016-11-30
474,2016-12-01,8.37,4717,2016-12-01
475,2016-12-05,5.88,4906,2016-12-05
476,2016-12-06,10.53,5005,2016-12-06
477,2016-12-07,5.56,5037,2016-12-07
478,2016-12-08,6.5,5000,2016-12-08
479,2016-12-09,6.73,4979,2016-12-09
480,2016-12-12,7.23,4817,2016-12-12
481,2016-12-13,6.93,4789,2016-12-13
482,2016-12-14,3.39,4781,2016-12-14
483,2016-12-15,9.13,4763,2016-12-15
484,2016-12-16,10.09,4771,2016-12-16
485,2016-12-19,3.47,5103,2016-12-19
486,2016-12-20,7.72,5049,2016-12-20
487,2016-12-21,5.42,5053,2016-12-21
488,2016-12-22,1.24,5165,2016-12-22
489,2016-12-23,2.34,5224,2016-12-23
490,2016-12-26,1.41,5359,2016-12-26
491,2016-12-27,6.27,5413,2016-12-27
492,2016-12-28,9.68,5327,2016-12-28
493,2016-12-29,10.1,5256,2016-12-29
494,2016-12-30,9.85,5265,2016-12-30
495,2017-01-02,5.87,5351,2017-01-02
496,2017-01-03,8.79,5606,2017-01-03
497,2017-01-04,6.89,5766,2017-01-04
498,2017-01-05,4.52,5873,2017-01-05
499,2017-01-06,9.34,6000,2017-01-06
500,2017-01-09,7.22,5967,2017-01-09
501,2017-01-10,7.6,5996,2017-01-10
502,2017-01-11,8.46,6050,2017-01-11
503,2017-01-12,3.12,6029,2017-01-12
504,2017-01-13,6.32,6032,2017-01-13
505,2017-01-16,11.64,5941,2017-01-16
506,2017-01-17,7.49,5931,2017-01-17
507,2017-01-18,6.79,5936,2017-01-18
508,2017-01-19,6.37,5982,2017-01-19
509,2017-01-20,2.77,6018,2017-01-20
510,2017-01-23,10.35,6215,2017-01-23
511,2017-01-24,12.28,6374,2017-01-24
512,2017-01-25,12.34,6647,2017-01-25
513,2017-01-26,10.91,6810,2017-01-26
514,2017-01-31,11.78,8288,2017-01-31
515,2017-02-01,12.26,8348,2017-02-01
516,2017-02-02,13.54,8547,2017-02-02
517,2017-02-03,11.42,8759,2017-02-03
518,2017-02-06,12.75,8472,2017-02-06
519,2017-02-07,10.14,8277,2017-02-07
520,2017-02-08,7.63,8093,2017-02-08
521,2017-02-09,10.83,8115,2017-02-09
522,2017-02-10,12.19,8238,2017-02-10
523,2017-02-13,11.68,8601,2017-02-13
524,2017-02-14,14.55,8732,2017-02-14
525,2017-02-15,12.98,8831,2017-02-15
526,2017-02-16,11.87,9098,2017-02-16
527,2017-02-17,10.48,9249,2017-02-17
528,2017-02-20,13.48,9277,2017-02-20
529,2017-02-21,15.32,9454,2017-02-21
530,2017-02-22,1.61,9608,2017-02-22
531,2017-02-23,15.2,9594,2017-02-23
532,2017-02-24,16.43,9537,2017-02-24
533,2017-02-27,15.67,9600,2017-02-27
534,2017-02-28,16.29,9526,2017-02-28
535,2017-03-02,12.21,9483,2017-03-02
536,2017-03-03,16.7,9485,2017-03-03
537,2017-03-06,18.32,9641,2017-03-06
538,2017-03-07,18.19,9499,2017-03-07
539,2017-03-08,12.97,9345,2017-03-08
540,2017-03-09,16.94,9199,2017-03-09
541,2017-03-10,18.54,9008,2017-03-10
542,2017-03-13,17.39,7759,2017-03-13
543,2017-03-14,18.78,7410,2017-03-14
544,2017-03-15,18.31,7206,2017-03-15
545,2017-03-16,16.84,7069,2017-03-16
546,2017-03-17,18.66,6947,2017-03-17
547,2017-03-20,6.56,6476,2017-03-20
548,2017-03-21,18.49,6277,2017-03-21
549,2017-03-22,16.94,6172,2017-03-22
550,2017-03-23,15.64,6175,2017-03-23
551,2017-03-24,14.96,5976,2017-03-24
552,2017-03-27,9.18,5386,2017-03-27
553,2017-03-28,14.34,5235,2017-03-28
554,2017-03-29,18.99,5149,2017-03-29
555,2017-03-30,19.25,5053,2017-03-30
556,2017-03-31,7.39,4946,2017-03-31
557,2017-04-03,21.31,4958,2017-04-03
558,2017-04-04,20.09,5020,2017-04-04
559,2017-04-05,4.23,4980,2017-04-05
560,2017-04-06,9.14,4830,2017-04-06
561,2017-04-07,20.2,4675,2017-04-07
562,2017-04-10,21.96,4512,2017-04-10
563,2017-04-11,18.31,4462,2017-04-11
564,2017-04-12,22.79,4405,2017-04-12
565,2017-04-13,21.36,4406,2017-04-13
566,2017-04-14,14.5,4469,2017-04-14
567,2017-04-17,3.38,4570,2017-04-17
568,2017-04-18,12.25,4624,2017-04-18
569,2017-04-19,24.06,4641,2017-04-19
570,2017-04-20,6.38,4636,2017-04-20
571,2017-04-21,20.62,4649,2017-04-21
572,2017-04-24,24.37,4739,2017-04-24
573,2017-04-25,17.67,4751,2017-04-25
574,2017-04-26,22.43,4780,2017-04-26
575,2017-04-27,25.66,4865,2017-04-27
576,2017-04-28,23.08,4948,2017-04-28
577,2017-05-02,21.65,5188,2017-05-02
578,2017-05-04,19.89,5468,2017-05-04
579,2017-05-08,15.25,5360,2017-05-08
580,2017-05-10,9.33,5277,2017-05-10
581,2017-05-11,13.06,5209,2017-05-11
582,2017-05-12,9.87,5081,2017-05-12
583,2017-05-15,25.57,4647,2017-05-15
584,2017-05-16,19.1,4546,2017-05-16
585,2017-05-17,24.11,4437,2017-05-17
586,2017-05-18,23.29,4383,2017-05-18
587,2017-05-19,26.23,4302,2017-05-19
588,2017-05-22,25.86,4255,2017-05-22
589,2017-05-23,16.12,4228,2017-05-23
590,2017-05-24,16,4183,2017-05-24
591,2017-05-25,25.99,4145,2017-05-25
592,2017-05-26,27.54,4108,2017-05-26
593,2017-05-29,24.58,3958,2017-05-29
594,2017-05-30,21.39,3876,2017-05-30
595,2017-05-31,20.01,3876,2017-05-31
596,2017-06-01,18.98,3878,2017-06-01
597,2017-06-02,27.08,3824,2017-06-02
598,2017-06-05,26.18,3758,2017-06-05
599,2017-06-07,2.98,3784,2017-06-07
600,2017-06-08,20.57,3796,2017-06-08
601,2017-06-09,22.25,3788,2017-06-09
602,2017-06-12,22.34,3661,2017-06-12
603,2017-06-13,20.82,3559,2017-06-13
604,2017-06-14,22.99,3506,2017-06-14
605,2017-06-15,25.66,3462,2017-06-15
606,2017-06-16,24.87,3485,2017-06-16
607,2017-06-19,24.42,3608,2017-06-19
