date,sun,price
2016-08-30,11,1150
2016-08-31,17.65,1260
2016-09-01,18.59,1440
2016-09-02,7.53,1350
2016-09-05,17.07,1280
2016-09-06,11.32,1220
2016-09-07,12.61,1140
2016-09-08,16.62,1130
2016-09-09,19.9,1110
2016-09-12,16.35,1160
2016-09-13,20.37,1300
2016-09-19,16.08,1090
2016-09-20,23.15,1190
2016-09-21,15.47,1140
2016-09-22,19.04,1120
2016-09-23,18.84,1090
2016-09-26,9.88,1100
2016-09-27,13.85,1150
2016-09-28,7.58,1210
2016-09-29,4.9,1180
2016-09-30,2.47,1150
2016-10-04,17.68,1300
2016-10-05,7.52,1390
2016-10-06,19.07,1500
2016-10-07,9.39,1550
2016-10-10,12.77,1590
2016-10-11,10.8,1460
2016-10-12,15.13,1390
2016-10-13,10.34,1360
2016-10-14,16.27,1310
2016-10-17,9.6,1310
2016-10-18,14.6,1270
2016-10-19,9.93,1240
2016-10-20,11.29,1250
2016-10-21,6.06,1270
2016-10-24,7.99,1250
2016-10-25,5.48,1250
2016-10-26,9.91,1270
2016-10-27,6.82,1300
2016-10-28,2.87,1300
2016-10-31,3.23,1000
2016-11-01,15.77,900
2016-11-02,15.12,895
2016-11-03,8.18,860
2016-11-04,12.12,855
2016-11-07,9.6,855
2016-11-08,12.17,840
2016-11-09,14.44,860
2016-11-10,4.42,840
2016-11-11,12.33,840
2016-11-14,5.9,870
2016-11-15,13.93,880
2016-11-16,10.05,880
2016-11-17,11.26,900
2016-11-18,5.51,890
2016-11-21,2.7,920
2016-11-22,4.98,940
2016-11-23,11.81,930
2016-11-24,12.32,910
2016-11-25,10.97,910
2016-11-28,11.37,910
2016-11-29,12.41,910
2016-11-30,3.93,1000
2016-12-01,10.21,1050
2016-12-05,6.94,1140
2016-12-06,12.27,1110
2016-12-07,4.57,1170
2016-12-08,9.72,1170
2016-12-09,10.07,1200
2016-12-12,6.73,1210
2016-12-13,4.79,1230
2016-12-14,7.47,1270
2016-12-15,10.05,1375
2016-12-16,11.77,1390
2016-12-19,3.25,1365
2016-12-20,8.53,1375
2016-12-21,4.33,1435
2016-12-22,0.71,1420
