date,place,ondo,price
2016-04-27,100,3.5,1460
2016-04-28,100,5.4,1520
2016-04-29,100,10,1510
2016-05-02,100,17.7,1400
2016-05-03,100,11.6,1360
2016-05-04,100,9.8,1260
2016-05-09,100,14.6,1140
2016-05-10,100,8.5,1140
2016-05-11,100,12.1,1140
2016-05-12,100,14.5,1100
2016-05-13,100,9.1,1080
2016-05-16,100,11.2,1200
2016-05-17,100,15.2,1220
2016-05-18,100,16.4,1160
2016-05-19,100,15.5,1180
2016-05-20,100,13.1,1200
2016-05-23,100,16.1,1140
2016-05-24,100,13.6,1140
2016-05-25,100,15.2,1140
2016-05-26,100,15.4,1100
2016-05-27,100,15.6,1060
2016-05-30,100,17.3,880
2016-05-31,100,17.1,820
2016-06-01,100,13.1,780
2016-06-02,100,13.7,760
2016-06-03,100,18,740
2016-06-07,100,16.3,700
2016-06-08,100,16.5,680
2016-06-09,100,15.7,650
2016-06-10,100,17.4,560
2016-06-13,100,15.1,580
2016-06-14,100,16.3,560
2016-06-15,100,17.4,500
2016-06-16,100,17.2,500
2016-06-17,100,18.5,540
2016-06-20,100,18.8,600
2016-06-21,100,17.7,650
2016-06-22,100,16.4,610
2016-06-23,100,20,650
2016-06-24,100,17.1,660
2016-06-27,100,17.5,640
2016-06-28,100,17.8,620
2016-06-29,100,18.4,570
2016-06-30,100,20.9,570
2016-07-01,100,20.7,570
2016-07-04,100,16.2,570
2016-07-05,100,17.7,620
2016-07-06,100,14.8,650
2016-07-07,100,19.3,720
2016-07-08,100,21.9,720
2016-07-11,100,22.2,700
2016-07-12,100,21,740
2016-07-13,100,21.8,840
2016-07-14,100,18.5,840
2016-07-15,100,17.8,840
2016-07-18,100,19.1,840
2016-07-19,100,17.6,820
2016-07-20,100,17.3,790
2016-07-21,100,17.3,760
2016-07-22,100,18.4,770
2016-07-25,100,23.2,770
2016-07-26,100,23.4,780
2016-07-27,100,22.6,780
2016-07-28,100,23.9,810
2016-07-29,100,22.1,830
2016-08-01,100,22.2,1060
2016-08-02,100,21.2,1140
2016-08-03,100,21.2,1160
2016-08-04,100,20.9,1120
2016-08-05,100,21.1,1180
2016-08-08,100,22.1,1120
2016-08-09,100,20.5,1180
2016-08-10,100,23.4,1280
2016-08-11,100,24.3,1320
2016-08-12,100,24.4,1340
2016-08-16,100,21.9,1380
2016-08-17,100,21.2,1520
2016-08-18,100,22.2,1520
2016-08-19,100,22.5,1560
2016-08-22,100,20.5,1780
2016-08-23,100,20.4,1820
2016-08-24,100,21.1,1820
2016-08-25,100,21.8,1840
2016-08-26,100,13.9,1920
2016-08-29,100,12.6,2000
2016-08-30,100,13.4,2160
2016-08-31,100,13.7,2300
2016-09-01,100,19,2380
2016-09-02,100,16.8,2340
2016-09-05,100,19.4,2300
2016-09-06,100,19.5,2260
2016-09-07,100,17.8,2220
2016-09-08,100,17.1,2300
2016-09-09,100,16.7,2140
2016-09-12,100,16.1,2100
2016-09-13,100,15.5,2300
2016-09-19,100,12.7,1980
2016-09-20,100,12.6,2020
2016-09-21,100,,2040
2016-09-22,100,12.8,2000
2016-09-23,100,12.7,1960
2016-09-26,100,14.9,1980
2016-09-27,100,16,1980
2016-09-28,100,14.5,1960
2016-09-29,100,10.9,1860
2016-09-30,100,14.6,1860
2016-10-04,100,12.7,1780
2016-10-05,100,13.9,1660
2016-10-06,100,12.5,1600
2016-10-07,100,13.2,1480
2016-10-10,100,7,1260
2016-10-11,100,9.3,1160
2016-10-12,100,7.8,1040
2016-10-13,100,9.2,960
2016-10-14,100,8.8,1000
2016-10-17,100,12.5,1000
2016-10-18,100,10,1000
2016-10-19,100,12.8,940
2016-10-20,100,9.9,880
2016-10-21,100,9.5,880
2016-10-24,100,6,800
2016-10-25,100,8.4,800
2016-10-26,100,8.6,800
2016-10-27,100,8.2,740
2016-10-28,100,8.4,740
2016-10-31,100,4.1,740
2016-11-01,100,-0.8,710
2016-11-02,100,-0.8,700
2016-11-03,100,3.2,700
2016-11-04,100,7.3,690
2016-11-07,100,8.2,660
2016-11-08,100,3.2,680
2016-11-09,100,-1.3,740
2016-11-10,100,1.8,720
2016-11-11,100,3.9,740
2016-11-14,100,10.6,740
2016-11-15,100,3.5,740
2016-11-16,100,1.7,800
2016-11-17,100,0.9,820
2016-11-18,100,7,980
2016-11-21,100,2.3,1020
2016-11-22,100,1.1,1000
2016-11-23,100,-2,1020
2016-11-24,100,-6.3,1040
2016-11-25,100,-4.2,1040
2016-11-28,100,-2.4,1040
2016-11-29,100,-3.2,1040
2016-11-30,100,2.3,1020
2016-12-01,100,0.3,1040
2016-12-05,100,2.1,1020
2016-12-06,100,-5.1,1000
2016-12-07,100,-4.3,940
2016-12-08,100,-3.3,940
2016-12-09,100,-2.9,880
2016-12-12,100,-0.4,920
2016-12-13,100,0.4,900
2016-12-14,100,-4.1,880
2016-12-15,100,-8.4,880
2016-12-16,100,-11.3,960
2016-12-19,100,1.7,920
2016-12-20,100,0.4,900
2016-12-21,100,1.1,950
2016-12-22,100,4.1,930
2016-12-23,100,-5,900
2016-12-26,100,0.2,920
2016-12-27,100,-5.4,920
2016-12-28,100,-9.1,920
2016-12-29,100,-7.7,920
2016-12-30,100,-8.2,900
