date,ondo,sun,uga,price
2015-11-23,11.3,2.72,39.57,8233
2015-11-24,8.8,4.77,40.7,8233
2015-11-25,5.2,1.76,41.4,8400
2015-11-26,0.9,7.11,40.94,8500
2015-11-27,-0.2,8.43,40.37,8500
2015-11-30,4,9.99,39.87,8500
2015-12-01,1.8,8.92,39.8,8500
2015-12-02,3.7,1.34,39.75,8500
2015-12-03,2.3,6.92,38.29,8500
2015-12-07,3.5,7.6,38.35,8500
2015-12-08,5.2,9.1,36.91,8500
2015-12-09,3.8,6.35,36.49,8500
2015-12-10,6.9,1.94,36.51,8500
2015-12-11,6.1,3.57,36.2,8500
2015-12-14,5.4,2.31,34.64,8500
2015-12-15,6.7,5.18,33.82,8500
2015-12-16,1.4,9.71,34.24,8500
2015-12-17,-3.5,10.66,32.86,8500
2015-12-18,-2.8,10.25,32.98,8500
2015-12-21,1.2,2.85,31.98,8500
2015-12-22,0.1,4.21,32,8500
2015-12-23,4.1,1.2,31.82,8500
2015-12-24,2.6,4.62,32.83,8500
2015-12-28,-6.5,11,32.61,8500
2015-12-29,-6.1,9.8,32.11,8500
2015-12-30,-3.1,10.08,32.74,8500
2015-12-31,-0.5,7.49,32.19,8500
2016-01-04,2.4,9.05,32.54,8500
2016-01-05,-2.5,6.23,31.66,8500
2016-01-06,-2.8,9.55,30.76,8600
2016-01-07,-1.7,10.89,27.96,8600
2016-01-08,-3.5,11.21,29.11,8600
2016-01-11,-3.8,10.47,28.07,8600
2016-01-12,-5.6,11.33,26.44,8600
2016-01-13,-3.3,9.24,26.49,8600
2016-01-14,-2.7,11.49,26.04,8600
2016-01-15,-3.3,9.38,26.22,8600
2016-01-18,-2,9.07,24.65,8600
2016-01-19,-7.9,12.62,24.72,8600
2016-01-20,-9.8,9.42,23.36,8600
2016-01-21,-7.3,7.04,22.83,8600
2016-01-22,-6.5,10.66,23.88,8600
2016-01-25,-9.9,13.04,26.1,8533
2016-01-26,-5.9,11.63,24.84,8533
2016-01-27,-3.3,10.83,26.11,8533
2016-01-28,-1.8,3.46,27.08,8533
2016-01-29,1.1,2.03,28.37,8533
2016-02-01,-3.6,13.21,29.01,8533
2016-02-02,-5.9,13.58,28.08,8533
2016-02-03,-4.7,13.76,27.52,8533
2016-02-04,-2.6,11.05,29.51,8533
2016-02-05,-2.8,13.5,29.22,8533
2016-02-11,2.6,10.69,26.08,8533
2016-02-12,6.8,1.33,26.86,8533
2016-02-15,-3.2,16.2,29.22,8533
2016-02-16,-2,10.92,30.66,8533
2016-02-17,-0.5,16.06,28.31,8633
2016-02-18,-0.1,10.33,30.25,8633
2016-02-19,1,6.41,30.07,8633
2016-02-22,1.9,11.14,29.33,8633
2016-02-23,3.1,13.13,29.69,8633
2016-02-24,-1.4,13.27,28.57,8633
2016-02-25,-2.2,16.5,29.46,8633
2016-02-26,1.2,12.12,30.43,8567
2016-02-29,-2.2,11.68,29.99,8567
2016-03-02,0.3,17.42,31.95,8567
2016-03-03,3.9,17.77,32.04,8567
2016-03-04,6.4,8.16,32.17,8567
2016-03-07,8.6,11.56,34.39,8567
2016-03-08,6.8,4.98,35.56,8567
2016-03-09,5.2,16.15,35.03,8567
2016-03-10,0.8,18.95,36.25,8567
2016-03-11,-0.9,20.09,36.37,8567
2016-03-14,2.2,18.58,35.69,8567
2016-03-15,4.5,20.1,34.66,8567
2016-03-16,7.4,16.86,34.8,8567
2016-03-17,9.2,18.58,36.67,8567
2016-03-18,9.9,3.4,37.42,8567
2016-03-21,7.9,20.29,37.14,8567
2016-03-22,9.1,18.71,37.43,8567
2016-03-23,9.3,15.4,37.14,8567
2016-03-24,7,14.29,36.04,8567
2016-03-25,5.1,11.99,36.87,8567
2016-03-28,7,21.34,36.31,8567
2016-03-29,10.2,17.39,36.17,8567
2016-03-30,11.7,21.55,35.45,8567
2016-03-31,10.1,15.07,35.05,8567
2016-04-01,12.4,22.59,36.22,8567
2016-04-04,10,10.5,34.84,8567
2016-04-05,11.4,23.24,33.83,8567
2016-04-06,12.5,15.63,34.69,8567
2016-04-07,12,11.19,36.48,8567
2016-04-08,13.4,23.01,36.71,8567
2016-04-11,9.7,17.24,37.79,8567
2016-04-12,10.6,19.49,38.67,8667
2016-04-14,16.1,16.65,39.66,8667
2016-04-15,13.2,24.35,39.37,8667
2016-04-18,13.9,22.09,37.73,8667
2016-04-19,12.1,24.48,39.17,8667
2016-04-20,13,13.66,39.03,8667
2016-04-21,13.5,6.18,41.7,8667
2016-04-22,17,22.67,41.01,8667
2016-04-25,14.9,25.01,40.86,8667
2016-04-26,17.1,22.69,40.83,8667
2016-04-27,10.8,3.72,42.59,8833
2016-04-28,13.5,18.32,43.22,8833
2016-04-29,14.6,24.42,44.26,8833
2016-05-02,19,22.66,43.355,8833
2016-05-03,17.2,6.28,43.03,8833
2016-05-04,18.7,27.69,42.05,8833
2016-05-09,18.1,15.21,42.84,8833
2016-05-10,13.9,3.31,41.23,8833
2016-05-11,16.1,23.81,42.18,8833
2016-05-12,17.2,25.43,44.65,8833
2016-05-13,15.5,14.14,44.39,8833
2016-05-16,14.5,23.09,45.35,8833
2016-05-17,16.4,28.43,45.68,8833
2016-05-18,19.5,28.65,45.76,8833
2016-05-19,19.1,28.83,44.75,8833
2016-05-20,18.3,26.9,45.65,8833
2016-05-23,19.1,26.34,44.87,8833
2016-05-24,18.4,4.5,44.55,8833
2016-05-25,19,27.15,45.27,8833
2016-05-26,19.8,21.52,45.74,8833
2016-05-27,22.2,23.47,45.31,8833
2016-05-30,21.1,28.11,45.54,8833
2016-05-31,21.7,23.42,45.9,8833
2016-06-01,19.8,27.02,45.44,10500
2016-06-02,19,29.15,46.17,10500
2016-06-03,21.2,26.92,46.28,10500
2016-06-07,22.2,21.16,46.82,10500
2016-06-08,20.4,11.66,47.99,10500
2016-06-09,22.4,21.69,48.98,10500
2016-06-10,23.5,27.26,48.23,10500
2016-06-13,24.3,22.38,47.06,10500
2016-06-14,23.3,17.7,46.3,10500
2016-06-15,22.2,7.78,46.09,10500
2016-06-16,23.4,22.59,44.93,10500
2016-06-17,22.7,26.66,44.48,10500
2016-06-20,24.4,20.28,46.53,10500
2016-06-21,23.6,20.2,46.4,10500
2016-06-22,23.6,17.78,47.12,10500
2016-06-23,26.7,26.02,46.48,10500
2016-06-24,22.3,7.12,45.47,10500
2016-06-27,22.6,17.95,45.11,10500
2016-06-28,22.8,16.83,44.55,10500
2016-06-29,23.5,18.16,45.73,10500
2016-06-30,24.8,21.38,46.46,10500
2016-07-01,24.4,9.02,45.19,9513
2016-07-04,21.1,2.09,46.97,9513
2016-07-05,27,18.53,45.01,9513
2016-07-06,24.8,6.67,45,9513
2016-07-07,24.9,21.04,44.99,9513
2016-07-08,25.9,26.23,42.5,9513
2016-07-11,26.7,18.04,41.97,9513
2016-07-12,26.9,16.77,42.58,9513
2016-07-13,26.4,18.27,43.41,9513
2016-07-14,23.5,14.15,42.31,9513
2016-07-15,24.2,20.69,42.59,9513
2016-07-18,23.7,21.63,43.38,9513
2016-07-19,25.1,24.85,42.21,9513
2016-07-20,24.1,11,42.24,9513
2016-07-21,24.2,20.27,42.73,9513
2016-07-22,24.7,26.2,41.63,9513
2016-07-25,27.6,9.62,41.38,9513
2016-07-26,28.9,24.47,40.37,9513
2016-07-27,28.9,19.83,40.59,9513
2016-07-28,29.3,18.79,39.88,9513
2016-07-29,28.3,16.23,38.64,9513
2016-08-01,28.4,22.66,40.04,9275
2016-08-02,26.6,12.77,38.85,9275
2016-08-03,26.2,17.28,38.54,9275
2016-08-04,27.3,20.71,39.99,9275
2016-08-05,28.6,25.23,41.22,9275
2016-08-08,28.1,20.5,41.59,9275
2016-08-09,27.5,19.54,42.055,9275
2016-08-10,28.3,20.79,41.34,9275
2016-08-11,29.3,24.53,40.49,9275
2016-08-12,29.5,24.64,42.89,9275
2016-08-16,28.8,22.48,45.74,9275
2016-08-17,27.8,23.91,45.85,9275
2016-08-18,28.5,21.49,46.65,9275
2016-08-19,28.5,23.37,47.26,9275
2016-08-22,27.6,18.16,46.85,9275
2016-08-23,27.1,18.81,45.38,9275
2016-08-24,26.6,23.37,45.96,9275
2016-08-25,27.5,23.08,45.59,9275
2016-08-26,20,3.18,44.62,9275
2016-08-29,19.5,13.7,45.82,9275
2016-08-30,19.9,13.96,46.16,9275
2016-08-31,20.2,5.92,44.79,9275
2016-09-01,24,19.5,42.98,9100
2016-09-02,20.5,2.64,41.71,9100
2016-09-05,24.5,10.71,44.28,9067
2016-09-06,24.1,11.37,43.4,9067
2016-09-07,23.7,15.03,43.67,9067
2016-09-08,23,15.18,44.83,9067
2016-09-09,22.6,16.98,45.45,9067
2016-09-12,20.5,5.66,43.745,9067
2016-09-13,21.5,17.04,43.69,9067
2016-09-19,19.5,9.72,42.43,9067
2016-09-20,18,17.83,41.99,9067
2016-09-21,17.4,13.95,43.08,9067
2016-09-22,17.9,7.53,43.58,9067
2016-09-23,19.3,18.49,43.39,9067
2016-09-26,20.9,8.07,42.15,9067
2016-09-27,24.1,9.38,43.13,9067
2016-09-28,22.5,12.1,42.37,9067
2016-09-29,18.5,5.37,44.65,9067
2016-09-30,16,2.8,45.11,9100
2016-10-04,21.4,15.75,47.83,9100
2016-10-05,18.6,6.1,48.83,9100
2016-10-06,18.2,14.68,48.77,9100
2016-10-07,17.9,10.27,50.07,9100
2016-10-10,13.3,12.58,48.9,9100
2016-10-11,13.3,11.54,50.01,9100
2016-10-12,14.3,14.44,50.03,9100
2016-10-13,13.9,11.52,49.07,9100
2016-10-14,12.9,13.07,49.88,9167
2016-10-17,16.8,11.48,49.12,9167
2016-10-18,15,8.66,49.23,9267
2016-10-19,15.2,11.14,49.67,9267
2016-10-20,15.4,9.18,49.66,9267
2016-10-21,15.3,5.29,48.82,9267
2016-10-24,12.4,14.91,49.48,9267
2016-10-25,12.9,2.27,49.2,9267
2016-10-26,14,9.97,47.91,9267
2016-10-27,14,8.85,48.16,9267
2016-10-28,13.4,3.51,48.4,9267
2016-10-31,7.4,2.67,47.44,9267
2016-11-01,3.6,14.98,45.42,9267
2016-11-02,2.7,15.53,44.08,9267
2016-11-03,5.1,11.28,43.52,9267
2016-11-04,6.2,11.99,42.84,9267
2016-11-07,12.3,7.11,42.69,9267
2016-11-08,8.1,12.14,42.87,9267
2016-11-09,2.7,12.71,42.57,9267
2016-11-10,7.7,7.05,43.67,9267
2016-11-11,7.3,11.43,43.7,9267
2016-11-14,12.3,7.89,41.95,9267
2016-11-15,8,12.09,41.97,9267
2016-11-16,4.1,9.51,43.45,9267
2016-11-17,5.7,10.36,43.47,9267
2016-11-18,7.5,5.41,42.8,9267
2016-11-21,10.1,4.53,44.47,9267
2016-11-22,6.7,4.8,46.08,9267
2016-11-23,4.1,8.17,46.07,9267
2016-11-24,-1,12.21,45.67,9267
2016-11-25,-1.2,8.63,45.97,9267
2016-11-28,2.3,10.26,43.76,9267
2016-11-29,0.5,11.61,44.65,9267
2016-11-30,5.6,4.04,44.12,9267
2016-12-01,4.2,8.54,49.02,9267
2016-12-05,5.8,6.4,51.64,9267
2016-12-06,0.5,11.26,51.65,9267
2016-12-07,-4,3.53,50.35,9267
2016-12-08,-0.3,7.63,50.3,9267
2016-12-09,2.2,9.07,51.32,9267
2016-12-12,1.8,7.31,54.18,9267
2016-12-13,4.3,6.7,52.85,9267
2016-12-14,1.3,1.72,52.69,9267
2016-12-15,-0.8,10.84,51.65,9267
2016-12-16,-5.3,10.9,51.69,9267
2016-12-19,4.7,2.56,52.86,9267
2016-12-20,6.3,6.17,52.09,9267
2016-12-21,5.1,4.73,52.87,9267
2016-12-22,8.9,3.16,51.78,9267
2016-12-23,2.6,7.24,52.21,9267
2016-12-26,3.6,1.45,53.055,9267
2016-12-27,1.4,6.46,52.72,9267
2016-12-28,-3.3,11.42,53.73,9267
2016-12-29,-2.8,10.4,53.9,9267
2016-12-30,-4.5,11.29,53.83,9267
2017-01-02,1.1,8.25,54.65,9267
2017-01-03,0.4,10.18,54.65,9267
2017-01-04,0.8,9.43,53.99,9267
2017-01-05,2.4,5.8,54.28,9267
2017-01-06,3.2,5.77,54.25,9267
2017-01-09,4.2,8.62,54.35,9267
2017-01-10,-1,11.34,53.14,9267
2017-01-11,-2.2,11.41,52.22,9267
2017-01-12,-1.3,5.09,53.45,9267
2017-01-13,-3.4,8.7,54.3,9267
2017-01-16,-6.4,11.78,53.29,9267
2017-01-17,-5.3,9.33,53.88,9267
2017-01-18,-3.7,7.52,53.84,9267
2017-01-19,-2.7,9.14,53.03,9267
2017-01-20,-4,7.97,52.91,9267
2017-01-23,-8.7,12.14,53.52,9267
2017-01-24,-8.2,13.12,53.98,9267
2017-01-25,-7.3,13.33,53.47,9267
2017-01-26,-5,12.4,53.86,9267
2017-01-31,-4.6,11.98,53.22,9267
2017-02-01,-2.7,13.1,54.94,9267
2017-02-02,-3.9,14.33,55.45,9267
2017-02-03,-1.7,13.77,54.265,9267
2017-02-06,0.3,13.92,55.31,9267
2017-02-07,-2.3,9.93,54.17,9267
2017-02-08,-0.3,9.27,53.35,9267
2017-02-09,-1.9,14.47,53.79,9267
2017-02-10,-5.1,15.34,53.78,9267
2017-02-13,-1.1,14.57,54.76,9267
2017-02-14,0.5,13.94,54.14,9267
2017-02-15,-0.5,14.66,54,9267
2017-02-16,3.7,13.73,53.95,9267
2017-02-17,4.9,13.66,54.06,9267
2017-02-20,2.9,14.76,54.46,9267
2017-02-21,-0.6,16.36,54.64,9267
2017-02-22,2.7,2.39,54.68,9267
2017-02-23,1.9,12.55,54.75,9267
2017-02-24,-0.7,17.7,54.7,9267
2017-02-27,2.9,16.28,55.18,9267
2017-02-28,2.8,15.85,53.565,9267
2017-03-02,3.8,7.16,54.85,9167
2017-03-03,2,17.74,53.68,9167
2017-03-06,3.7,19.04,53.85,9167
2017-03-07,-0.5,18.36,54.44,9167
2017-03-08,-1.1,17.08,54.02,9167
2017-03-09,4.6,17.67,52.52,9167
2017-03-10,3.7,19.93,51.16,9167
2017-03-13,6.9,17.78,50.04,9167
2017-03-14,5.3,10.88,49.82,9167
2017-03-15,3.5,17.52,50.01,9167
2017-03-16,4.8,17.86,50.64,9167
2017-03-17,5.3,18.92,50.13,9167
2017-03-20,7.5,9.64,50.05,9167
2017-03-21,7.3,14.49,50.42,9167
2017-03-22,6,16.87,49.02,9167
2017-03-23,8.5,15.08,49.17,9167
2017-03-24,7.6,15.58,48.97,9167
2017-03-27,4.6,11.78,48.84,9167
2017-03-28,6.4,18.57,49.23,9167
2017-03-29,9.3,20.37,50.14,9000
2017-03-30,10.4,21.05,50.71,9000
2017-03-31,8.3,4.57,50.78,9000
2017-04-03,9.2,22.79,51.67,8833
2017-04-04,12,21.67,51.1,8833
2017-04-05,13.6,5.24,52.99,8833
2017-04-06,14.9,8.47,52.64,8833
2017-04-07,13.7,21.22,53.94,8667
2017-04-10,11.8,23.17,53.88,8367
2017-04-11,11.7,15.94,54.33,8100
2017-04-12,11.4,22.72,54.61,7467
2017-04-13,12.3,23.11,54.16,7333
2017-04-14,13.3,16.81,53.91,7333
2017-04-17,11.6,1.67,53.49,7333
2017-04-18,14.4,17.95,53.12,7333
2017-04-19,13.3,25.68,53.04,7333
2017-04-20,11.7,7.78,51.46,7333
2017-04-21,12.5,20.12,51.36,7333
2017-04-24,15.3,26.01,50.94,7333
2017-04-25,17.3,18.04,50.13,7333
2017-04-26,14.7,21.65,50.57,7333
2017-04-27,11,25.47,50.02,7333
2017-04-28,14.4,25.63,50.16,7000
2017-05-02,15.4,23.74,53.565,7000
2017-05-04,19.5,21.84,48.825,7000
2017-05-08,16.5,19.39,48.805,7000
2017-05-10,14.5,8.34,49.01,7000
2017-05-11,17.1,17.18,49.64,7000
2017-05-12,16.2,7.01,49.46,7000
2017-05-15,14.8,24.25,50.82,6500
2017-05-16,15.9,17.75,51.09,6500
2017-05-17,17.3,22.94,50.42,6500
2017-05-18,18.2,25.11,51,6500
2017-05-19,20.2,27.86,51.96,6500
2017-05-22,20.2,26.97,52.79,6500
2017-05-23,19.5,18.5,52.31,6500
2017-05-24,18.5,14.77,53.1,6500
2017-05-25,20.2,25.97,52.78,6500
2017-05-26,15.5,22.3,50.42,6500
2017-05-29,23.8,25.92,50.65,6400
2017-05-30,22.2,19.57,50.48,6400
2017-05-31,21.7,21.29,50.09,6400
2017-06-01,20.4,17.12,50.16,6400
2017-06-02,19.5,28.65,48.34,6400
2017-06-05,18.7,29.25,48.77,6400
2017-06-07,19.8,5.49,48.42,6400
2017-06-08,20.8,28.64,47.07,6400
2017-06-09,23,26.4,46.46,6400
2017-06-12,18.5,25.75,47.02,6400
2017-06-13,19,25.06,47.3,6400
2017-06-14,19.2,23.63,46.84,6400
2017-06-15,22.6,27.24,45.37,6400
2017-06-16,22.2,27.51,45.88,6400
2017-06-19,25.9,25.63,45.68,6400
2017-06-20,24.5,15.78,45.62,6400
2017-06-21,24.2,20.17,44.32,6400
2017-06-22,24.8,26.28,43.5,6400
2017-06-23,25.5,24.41,44.17,6400
2017-06-26,22.3,12.58,45.265,6400
2017-06-27,23.6,17.61,45.03,6400
2017-06-28,25,22.46,45.3,6400
2017-06-29,24.8,19.79,46.36,6400
2017-06-30,26.8,23.35,46.47,6400
2017-07-03,25.4,8.43,47.62,6710
2017-07-04,25.9,18.17,48.43,6710
2017-07-05,26.7,22.96,48.34,6710
2017-07-06,26.1,18.85,47.07,6710
2017-07-07,25.9,12.56,46.05,6710
2017-07-10,28.5,10.32,45.24,6710
2017-07-11,28.1,24.09,45.27,6710
2017-07-12,27.3,24.57,46.82,6710
2017-07-13,27.1,27.4,46.1,6710
2017-07-14,26.2,22.18,46.99,6710
2017-07-17,25.2,14.97,47.65,6710
2017-07-18,26.1,17.95,47.2,6710
2017-07-19,27.3,22.44,47.41,6710
2017-07-20,28.4,25.47,48.33,6710
2017-07-21,29.1,21.02,48.17,6710
2017-07-24,27.3,8.55,46.51,6710
2017-07-25,24.7,8.43,47.3,6710
2017-07-26,24,26.75,49.05,6710
2017-07-27,24.2,26.59,49.35,6710
2017-07-28,25.9,13.44,49.72,6710
