date,gangsu,ondo,snow,price
2015-12-24,0,4.3,0,440
2015-12-28,0,-2.6,0,440
2015-12-29,0,-1.8,0,440
2015-12-30,0,-0.5,0,455
2015-12-31,0.5,1,0,460
2016-01-04,0,4.2,0,460
2016-01-05,0,0.4,0,470
2016-01-06,0,0.6,0,470
2016-01-07,0,1.2,0,470
2016-01-08,0,-0.2,0,460
2016-01-11,0,-0.3,0,460
2016-01-12,0,-2.2,0,450
2016-01-13,1,-1.6,3.7,450
2016-01-14,0,-1.2,0.1,430
2016-01-15,0,-0.1,0,430
2016-01-18,2.5,-1.8,5,440
2016-01-19,1,-7.2,3.8,450
2016-01-20,0,-7.4,0,480
2016-01-21,0,-5.6,0,500
2016-01-22,0,-5.5,8.8,530
2016-01-25,0,-8.6,5,680
2016-01-26,0,-2.2,0,690
2016-01-27,0,-0.9,0,680
2016-01-28,8.5,0.8,0,700
2016-01-29,6.5,3.9,0,880
2016-02-01,0,-3.5,0,970
2016-02-02,0,-4.1,0,980
2016-02-03,0,-2.7,0,930
2016-02-04,0,-1.6,0,890
2016-02-05,0,-1.7,0,820
2016-02-11,0,8.7,0,670
2016-02-12,25,11.7,0,590
2016-02-15,0,-3.2,1.2,580
2016-02-16,1,-0.5,4.2,610
2016-02-17,0.5,0.3,1.2,600
2016-02-18,0,2.1,0,590
2016-02-19,0,4.2,0,590
2016-02-22,0,2.1,0,570
2016-02-23,0,2.7,0,550
2016-02-24,0,-2.1,0,560
2016-02-25,0,-1.6,0,580
2016-02-26,0.5,0.2,0,580
2016-03-02,0,1.8,0,710
2016-03-03,0,6.9,0,800
2016-03-04,32.5,9.4,0,790
2016-03-07,0,10.3,0,780
2016-03-08,4.5,6.1,0,770
2016-03-09,0,3.2,0,770
2016-03-10,0,0.5,0,750
2016-03-11,0,-0.3,0,740
2016-03-14,0,3.2,0,720
2016-03-15,0,5.6,0,720
2016-03-16,0,7.9,0,760
2016-03-17,0,9.6,0,740
2016-03-18,5.5,11.6,0,740
2016-03-21,0,9.3,0,740
2016-03-22,0,8.5,0,750
2016-03-23,0,7.4,0,730
