date,uga,sun,ondo,price
2015-12-23,31.82,0.88,7.5,1660
2015-12-24,32.83,6.77,5.6,1660
2015-12-28,32.61,4.88,1.3,1660
2015-12-29,32.11,8.04,2.2,1660
2015-12-30,32.74,7.08,4.5,1680
2015-12-31,32.19,5.85,4.8,1690
2016-01-05,31.66,3.46,2.4,1710
2016-01-06,30.76,7.33,2.7,1700
2016-01-07,27.96,3.31,3.3,1680
2016-01-08,29.11,6.2,2.7,1660
2016-01-11,28.07,6.71,1.6,1660
2016-01-12,26.44,8.39,0.8,1670
2016-01-13,26.49,5.28,1.6,1650
2016-01-14,26.04,7.88,2.5,1640
2016-01-15,26.22,8.49,3.6,1640
2016-01-18,24.65,4.87,-0.3,1660
2016-01-19,24.72,7.53,-2.8,1660
2016-01-20,23.36,8.93,-2.2,1660
2016-01-21,22.83,5.2,-1.9,1660
2016-01-22,23.88,9.43,-1.6,1660
2016-01-25,26.1,5.33,-2.5,1660
2016-01-26,24.84,8.93,1.3,1690
2016-01-27,26.11,9.47,3.3,1710
2016-01-28,27.08,1.64,3,1700
2016-01-29,28.37,1.57,2.5,1670
2016-02-01,29.01,6.52,-0.8,1670
2016-02-02,28.08,11.86,-1.3,1650
2016-02-03,27.52,11.6,0,1650
2016-02-04,29.51,9.34,1.2,1650
2016-02-05,29.22,11.78,0.8,1650
2016-02-11,26.08,8.14,11.5,1650
2016-02-12,26.86,1.52,14.2,1650
2016-02-15,29.22,9.6,-1.1,1640
2016-02-16,30.66,9.24,2.4,1640
2016-02-17,28.31,13.54,3.2,1640
2016-02-18,30.25,13.02,5.3,1610
2016-02-19,30.07,9.5,6.3,1610
2016-02-22,29.33,4.08,2.9,1610
2016-02-23,29.69,9.91,3.4,1610
2016-02-24,28.57,9.57,0.3,1610
2016-02-25,29.46,14.71,2,1610
2016-02-26,30.43,7.67,5.1,1610
2016-02-29,29.99,11.38,0.2,1610
2016-03-02,31.95,15.73,4.7,1610
2016-03-03,32.04,11.8,10.2,1610
2016-03-04,32.17,4.42,13.5,1610
2016-03-07,34.39,7.6,10.1,1610
2016-03-08,35.56,1.85,5.1,1620
2016-03-09,35.03,15.57,2.1,1620
2016-03-10,36.25,15.75,1.5,1640
2016-03-11,36.37,16.32,1.7,1640
2016-03-14,35.69,13.77,4.1,1630
2016-03-15,34.66,17.87,5.6,1630
2016-03-16,34.8,15.22,8.9,1630
2016-03-17,36.67,15.15,12.2,1610
2016-03-18,37.42,2.32,11,1610
2016-03-21,37.14,18.48,8.7,1630
2016-03-22,37.43,18.68,7.8,1630
2016-03-23,37.14,15.93,7.5,1630
2016-03-24,36.04,17.98,6.6,1630
2016-03-25,36.87,18.45,5.9,1600
2016-03-28,36.31,18.12,9.1,1570
2016-03-29,36.17,9.91,12.3,1570
2016-03-30,35.45,17.48,12.7,1540
2016-03-31,35.05,12.5,12.6,1500
2016-04-01,36.22,17.9,11.9,1490
2016-04-04,34.84,16.71,12.2,1510
2016-04-05,33.83,18.23,11.3,1540
2016-04-06,34.69,6.42,11.7,1560
2016-04-07,36.48,9.14,11.8,1580
2016-04-08,36.71,15.5,11.6,1630
2016-04-11,37.79,18.37,12.7,1570
2016-04-12,38.67,15.9,13.9,1550
2016-04-14,39.66,11.36,12.1,1550
2016-04-15,39.37,21.28,14.1,1570
2016-04-18,37.73,18.87,13.1,1590
2016-04-19,39.17,22.42,13,1590
2016-04-20,39.03,13.03,15.2,1590
2016-05-02,43.355,10.24,18.8,980
