date,snow,price
2017-07-07,0,560
2017-07-10,0,624
2017-07-11,0,670
2017-07-12,0,780
2017-07-13,0,790
2017-07-14,0,790
2017-07-17,0,890
2017-07-18,0,910
2017-07-19,0,910
2017-07-20,0,930
2017-07-21,0,890
2017-07-24,0,1020
2017-07-25,0,1020
2017-07-26,0,1130
2017-07-27,0,1130
2017-07-28,0,1090
2017-07-31,0,1210
2017-08-01,0,1195
2017-08-02,0,1220
2017-08-03,0,1260
2017-08-04,0,1245
2017-08-07,0,1260
2017-08-08,0,1255
2017-08-09,0,1290
2017-08-10,0,1370
2017-08-11,0,1420
2017-08-14,0,1620
2017-08-16,0,1560
2017-08-17,0,1570
2017-08-18,0,1630
2017-08-21,0,1670
2017-08-22,0,1720
2017-08-23,0,1820
2017-08-24,0,1720
2017-08-25,0,1760
2017-08-28,0,1760
2017-08-29,0,1720
2017-08-30,0,1740
2017-08-31,0,1660
2017-09-01,0,1840
2017-09-04,0,2000
2017-09-05,0,2060
2017-09-06,0,2040
2017-09-07,0,2020
2017-09-08,0,1920
2017-09-11,0,1840
2017-09-12,0,1800
2017-09-13,0,1780
2017-09-14,0,1740
2017-09-15,0,1720
2017-09-18,0,1740
2017-09-19,0,1680
2017-09-20,0,1700
2017-09-21,0,1620
2017-09-22,0,1680
2017-09-25,0,1620
2017-09-26,0,1520
2017-09-27,0,1480
2017-09-28,0,1360
2017-09-29,0,1420
2017-10-10,0,1300
2017-10-11,0,1280
2017-10-12,0,1020
2017-10-13,0,840
2017-10-16,0,740
2017-10-17,0,660
2017-10-18,0,640
2017-10-19,0,580
2017-10-20,0,540
2017-10-23,0,570
2017-10-24,0,570
2017-10-25,0,570
2017-10-26,0,570
2017-10-27,0,570
2017-10-30,0,576
2017-10-31,0,576
2017-11-01,0,540
2017-11-02,0,536
2017-11-03,0,546
2017-11-06,0,540
2017-11-07,0,546
2017-11-08,0,596
2017-11-09,0,600
2017-11-10,0,620
2017-11-13,0,620
2017-11-14,0,600
2017-11-15,0,600
2017-11-16,0,616
2017-11-17,0,644
2017-11-20,0,624
2017-11-21,0,650
2017-11-22,0,656
2017-11-23,0,700
2017-11-24,0,720
2017-11-27,0,620
2017-11-28,0,596
2017-11-29,0,596
2017-11-30,0,596
2017-12-04,0,584
2017-12-05,0,550
2017-12-06,0,546
2017-12-07,0,550
2017-12-08,0,622
2017-12-11,0,642
2017-12-12,0,642
2017-12-13,0,642
2017-12-14,0,660
2017-12-15,0,666
2017-12-18,0,686
2017-12-19,0,690
2017-12-20,0,700
2017-12-21,0,704
2017-12-22,0,704
2017-12-26,0,690
2017-12-27,0,696
2017-12-28,0,690
2017-12-29,0,680
2018-01-02,0,685
2018-01-03,0,683
2018-01-04,0,685
2018-01-05,0,685
2018-01-08,0,700
2018-01-09,0,700
2018-01-10,0,700
2018-01-11,0,700
2018-01-12,0,696
2018-01-15,0,680
2018-01-16,0,700
2018-01-17,0,640
2018-01-18,0,626
2018-01-19,0,630
2018-01-22,5.1,636
2018-01-23,0,650
2018-01-24,0,646
2018-01-25,0,640
2018-01-26,0,640
2018-01-29,0,690
2018-01-30,0,780
2018-01-31,0,830
2018-02-01,0,836
2018-02-02,0,910
2018-02-05,0,1000
2018-02-06,0,1060
2018-02-07,0,1090
2018-02-08,0,1050
2018-02-09,0,1020
2018-02-12,0,930
2018-02-13,0,910
2018-02-14,0,880
2018-02-19,0,820
2018-02-20,0,840
