,date,sun,price
263,2016-01-26,8.93,1690.0
264,2016-01-27,9.47,1710.0
265,2016-01-28,1.64,1700.0
266,2016-01-29,1.57,1670.0
267,2016-02-01,6.52,1670.0
268,2016-02-02,11.86,1650.0
269,2016-02-03,11.6,1650.0
270,2016-02-04,9.34,1650.0
271,2016-02-05,11.78,1650.0
272,2016-02-11,8.14,1650.0
273,2016-02-12,1.52,1650.0
274,2016-02-15,9.6,1640.0
275,2016-02-16,9.24,1640.0
276,2016-02-17,13.54,1640.0
277,2016-02-18,13.02,1610.0
278,2016-02-19,9.5,1610.0
279,2016-02-22,4.08,1610.0
280,2016-02-23,9.91,1610.0
281,2016-02-24,9.57,1610.0
282,2016-02-25,14.71,1610.0
283,2016-02-26,7.67,1610.0
284,2016-02-29,11.38,1610.0
285,2016-03-02,15.73,1610.0
286,2016-03-03,11.8,1610.0
287,2016-03-04,4.42,1610.0
288,2016-03-07,7.6,1610.0
289,2016-03-08,1.85,1620.0
290,2016-03-09,15.57,1620.0
291,2016-03-10,15.75,1640.0
292,2016-03-11,16.32,1640.0
293,2016-03-14,13.77,1630.0
294,2016-03-15,17.87,1630.0
295,2016-03-16,15.22,1630.0
296,2016-03-17,15.15,1610.0
297,2016-03-18,2.32,1610.0
298,2016-03-21,18.48,1630.0
299,2016-03-22,18.68,1630.0
300,2016-03-23,15.93,1630.0
301,2016-03-24,17.98,1630.0
302,2016-03-25,18.45,1600.0
303,2016-03-28,18.12,1570.0
304,2016-03-29,9.91,1570.0
305,2016-03-30,17.48,1540.0
306,2016-03-31,12.5,1500.0
307,2016-04-01,17.9,1490.0
308,2016-04-04,16.71,1510.0
309,2016-04-05,18.23,1540.0
310,2016-04-06,6.42,1560.0
311,2016-04-07,9.14,1580.0
312,2016-04-08,15.5,1630.0
313,2016-04-11,18.37,1570.0
314,2016-04-12,15.9,1550.0
315,2016-04-14,11.36,1550.0
316,2016-04-15,21.28,1570.0
317,2016-04-18,18.87,1590.0
318,2016-04-19,22.42,1590.0
319,2016-04-20,13.03,1590.0
320,2016-05-02,10.24,980.0
321,2016-05-03,8.97,840.0
