date,income,price
2016-03-14,45236301,1630
2016-03-15,45236301,1630
2016-03-16,45236301,1630
2016-03-17,45236301,1610
2016-03-18,45236301,1610
2016-03-21,45236301,1630
2016-03-22,45236301,1630
2016-03-23,45236301,1630
2016-03-24,45236301,1630
2016-03-25,45236301,1600
2016-03-28,45236301,1570
2016-03-29,45236301,1570
2016-03-30,45236301,1540
2016-03-31,45236301,1500
2016-04-01,45236301,1490
2016-04-04,45236301,1510
2016-04-05,45236301,1540
2016-04-06,45236301,1560
2016-04-07,45236301,1580
2016-04-08,45236301,1630
2016-04-11,45236301,1570
2016-04-12,45236301,1550
2016-04-14,45236301,1550
2016-04-15,45236301,1570
2016-04-18,45236301,1590
2016-04-19,45236301,1590
2016-04-20,45236301,1590
2016-05-02,45236301,980
2016-05-03,45236301,840
2016-05-04,45236301,780
2016-05-09,45236301,730
2016-05-10,45236301,730
2016-05-11,45236301,740
2016-05-12,45236301,730
2016-05-13,45236301,700
2016-05-16,45236301,680
2016-05-17,45236301,680
2016-05-18,45236301,680
2016-05-19,45236301,690
2016-05-20,45236301,690
2016-05-23,45236301,690
2016-05-24,45236301,690
2016-05-25,45236301,690
2016-05-26,45236301,730
2016-05-27,45236301,730
2016-05-30,45236301,750
2016-05-31,45236301,750
2016-06-01,45236301,730
2016-06-02,45236301,730
2016-06-03,45236301,730
2016-06-07,45236301,750
2016-06-08,45236301,760
2016-06-09,45236301,760
2016-06-10,45236301,760
2016-06-13,45236301,750
2016-06-14,45236301,750
2016-06-15,45236301,750
2016-06-16,45236301,750
2016-06-17,45236301,740
2016-06-20,45236301,700
2016-06-21,45236301,700
2016-06-22,45236301,700
2016-06-23,45236301,700
2016-06-24,45236301,700
2016-06-27,45236301,690
2016-06-28,45236301,690
2016-06-29,45236301,690
2016-06-30,45236301,690
2016-06-01,45236301,730
2016-06-02,45236301,730
2016-06-03,45236301,730
2016-06-07,45236301,750
2016-06-08,45236301,760
2016-06-09,45236301,760
2016-06-10,45236301,760
2016-06-13,45236301,750
2016-06-14,45236301,750
2016-06-15,45236301,750
2016-06-16,45236301,750
2016-06-17,45236301,740
2016-06-20,45236301,700
2016-06-21,45236301,700
2016-06-22,45236301,700
2016-06-23,45236301,700
2016-06-24,45236301,700
2016-06-27,45236301,690
2016-06-28,45236301,690
2016-06-29,45236301,690
2016-06-30,45236301,690
2016-07-01,45236301,690
2016-07-04,45236301,700
2016-07-05,45236301,700
2016-07-06,45236301,700
2016-07-07,45236301,700
2016-07-08,45236301,680
2016-07-11,45236301,680
2016-07-12,45236301,680
2016-07-13,45236301,690
2016-07-14,45236301,690
2016-07-15,45236301,690
2016-07-18,45236301,700
2016-07-19,45236301,700
2016-07-20,45236301,700
2016-07-21,45236301,700
2016-07-22,45236301,720
2016-07-25,45236301,720
2016-07-26,45236301,740
2016-07-27,45236301,740
2016-07-28,45236301,760
2016-07-29,45236301,760
2016-08-01,45236301,760
2016-08-02,45236301,750
2016-08-03,45236301,780
2016-08-04,45236301,790
2016-08-05,45236301,800
2016-08-08,45236301,810
2016-08-09,45236301,810
2016-08-10,45236301,810
2016-08-11,45236301,810
2016-08-12,45236301,810
2016-08-16,45236301,800
2016-08-17,45236301,800
2016-08-18,45236301,800
2016-08-19,45236301,800
2016-08-22,45236301,830
2016-08-23,45236301,840
2016-08-24,45236301,840
2016-08-25,45236301,840
2016-08-26,45236301,860
2016-08-29,45236301,860
2016-08-30,45236301,880
2016-08-31,45236301,910
2016-09-01,45236301,910
2016-09-02,45236301,910
2016-09-05,45236301,910
2016-09-06,45236301,910
2016-09-07,45236301,920
2016-09-08,45236301,920
2016-09-09,45236301,910
2016-09-12,45236301,910
2016-09-13,45236301,920
2016-09-19,45236301,920
2016-09-20,45236301,920
2016-09-21,45236301,940
2016-09-22,45236301,940
2016-09-23,45236301,940
2016-09-26,45236301,930
2016-09-27,45236301,930
2016-09-28,45236301,920
2016-09-29,45236301,920
2016-09-30,45236301,920
2016-10-04,45236301,920
2016-10-05,45236301,970
2016-10-06,45236301,970
2016-10-07,45236301,970
2016-10-10,45236301,970
2016-10-11,45236301,970
2016-10-12,45236301,970
2016-10-13,45236301,970
2016-10-14,45236301,970
2016-10-17,45236301,970
2016-10-18,45236301,980
2016-10-19,45236301,980
2016-10-20,45236301,980
2016-10-21,45236301,980
2016-10-24,45236301,980
2016-10-25,45236301,980
2016-10-26,45236301,980
2016-10-27,45236301,980
2016-10-28,45236301,980
2016-10-31,45236301,980
2016-11-01,45236301,980
2016-11-02,45236301,980
2016-11-03,45236301,980
2016-11-04,45236301,980
2016-11-07,45236301,990
2016-11-08,45236301,1040
2016-11-09,45236301,1040
2016-11-10,45236301,1040
2016-11-11,45236301,1040
2016-11-14,45236301,1040
2016-11-15,45236301,1040
2016-11-16,45236301,1050
2016-11-17,45236301,1050
2016-11-18,45236301,1050
2016-11-21,45236301,1050
2016-11-22,45236301,1050
2016-11-23,45236301,1050
2016-11-24,45236301,1050
2016-11-25,45236301,1030
2016-11-28,45236301,1030
2016-11-29,45236301,1030
2016-11-30,45236301,1030
2016-12-01,45236301,1030
2016-12-05,45236301,1040
2016-12-06,45236301,1070
2016-12-07,45236301,1060
2016-12-08,45236301,1060
2016-12-09,45236301,1060
2016-12-12,45236301,1060
2016-12-13,45236301,1060
2016-12-14,45236301,1070
2016-12-15,45236301,1070
2016-12-16,45236301,1060
2016-12-19,45236301,1060
2016-12-20,45236301,1060
2016-12-21,45236301,1060
2016-12-22,45236301,1080
2016-12-23,45236301,1070
2016-12-26,45236301,1070
2016-12-27,45236301,1060
2016-12-28,45236301,1060
2016-12-29,45236301,1060
2016-12-30,45236301,1060
2017-01-02,148406200,1060
2017-01-03,148406200,1070
2017-01-04,148406200,1100
2017-01-05,148406200,1130
2017-01-06,148406200,1130
2017-01-09,148406200,1260
2017-01-10,148406200,1260
2017-01-11,148406200,1270
2017-01-12,148406200,1270
2017-01-13,148406200,1240
2017-01-16,148406200,1250
2017-01-17,148406200,1290
2017-01-18,148406200,1290
2017-01-19,148406200,1290
2017-01-20,148406200,1290
2017-01-23,148406200,1290
2017-01-24,148406200,1300
2017-01-25,148406200,1300
2017-01-26,148406200,1300
2017-01-31,148406200,1300
2017-02-01,148406200,1300
