,date,snow,price
455,2016-10-19,0,980
456,2016-10-20,0,980
457,2016-10-21,0,980
458,2016-10-24,0,980
459,2016-10-25,0,980
460,2016-10-26,0,980
461,2016-10-27,0,980
462,2016-10-28,0,980
463,2016-10-31,0,980
464,2016-11-01,0,980
465,2016-11-02,0,980
466,2016-11-03,0,980
467,2016-11-04,0,980
468,2016-11-07,0,990
469,2016-11-08,0,1040
470,2016-11-09,0,1040
471,2016-11-10,0,1040
472,2016-11-11,0,1040
473,2016-11-14,0,1040
474,2016-11-15,0,1040
475,2016-11-16,0,1050
476,2016-11-17,0,1050
477,2016-11-18,0,1050
478,2016-11-21,0,1050
479,2016-11-22,0,1050
480,2016-11-23,0,1050
481,2016-11-24,0,1050
482,2016-11-25,0,1030
483,2016-11-28,0,1030
484,2016-11-29,0,1030
485,2016-11-30,0,1030
486,2016-12-01,0,1030
487,2016-12-05,0,1040
488,2016-12-06,0,1070
489,2016-12-07,0,1060
490,2016-12-08,0,1060
491,2016-12-09,0,1060
492,2016-12-12,0,1060
493,2016-12-13,0,1060
494,2016-12-14,0,1070
495,2016-12-15,0,1070
496,2016-12-16,0,1060
497,2016-12-19,0,1060
498,2016-12-20,0,1060
499,2016-12-21,0,1060
500,2016-12-22,0,1080
501,2016-12-23,0,1070
502,2016-12-26,0,1070
503,2016-12-27,0,1060
504,2016-12-28,0,1060
505,2016-12-29,0,1060
506,2016-12-30,0,1060
507,2017-01-02,0,1060
508,2017-01-03,0,1070
509,2017-01-04,0,1100
510,2017-01-05,0,1130
511,2017-01-06,0,1130
512,2017-01-09,0,1260
513,2017-01-10,0,1260
514,2017-01-11,0,1270
515,2017-01-12,0,1270
516,2017-01-13,1.5,1240
517,2017-01-16,0,1250
518,2017-01-17,0,1290
519,2017-01-18,0,1290
520,2017-01-19,0,1290
521,2017-01-20,1.7,1290
522,2017-01-23,1.8,1290
523,2017-01-24,0,1300
524,2017-01-25,0,1300
525,2017-01-26,0,1300
526,2017-01-31,0,1300
527,2017-02-01,0,1300
528,2017-02-02,0,1330
529,2017-02-03,0,1330
530,2017-02-06,0,1330
531,2017-02-07,0,1340
532,2017-02-08,0.4,1340
533,2017-02-09,8.4,1340
534,2017-02-10,4,1340
535,2017-02-13,0,1340
536,2017-02-14,0,1360
537,2017-02-15,0,1360
538,2017-02-16,0,1340
539,2017-02-17,0,1330
540,2017-02-20,0,1330
541,2017-02-21,0,1330
542,2017-02-22,0,1350
543,2017-02-23,0,1340
544,2017-02-24,0,1330
545,2017-02-27,0,1330
546,2017-02-28,0,1330
547,2017-03-02,0,1380
548,2017-03-03,0,1420
549,2017-03-06,0,1420
550,2017-03-07,0,1420
551,2017-03-08,0,1400
552,2017-03-09,0,1400
553,2017-03-10,0,1400
554,2017-03-13,0,1400
555,2017-03-14,0,1400
556,2017-03-15,0,1390
557,2017-03-16,0,1390
558,2017-03-17,0,1390
559,2017-03-20,0,1350
560,2017-03-21,0,1350
561,2017-03-22,0,1310
562,2017-03-23,0,1320
563,2017-03-24,0,1350
564,2017-03-27,0,1390
565,2017-03-28,0,1430
566,2017-03-29,0,1560
567,2017-03-30,0,1630
568,2017-03-31,0,1630
569,2017-04-03,0,1550
570,2017-04-04,0,1520
571,2017-04-05,0,1455
572,2017-04-06,0,1435
573,2017-04-07,0,1420
574,2017-04-10,0,1320
575,2017-04-11,0,1365
576,2017-04-12,0,1375
577,2017-04-13,0,1350
578,2017-04-14,0,1310
579,2017-04-17,0,1225
580,2017-04-18,0,1215
581,2017-04-19,0,1205
582,2017-04-20,0,1205
583,2017-04-21,0,1140
584,2017-04-24,0,950
585,2017-04-25,0,880
586,2017-04-26,0,870
587,2017-04-27,0,870
588,2017-04-28,0,880
589,2017-05-02,0,870
590,2017-05-04,0,850
591,2017-05-08,0,940
592,2017-05-10,0,1140
593,2017-05-11,0,1220
594,2017-05-12,0,1210
595,2017-05-15,0,1120
596,2017-05-16,0,1000
597,2017-05-17,0,1000
598,2017-05-18,0,1000
599,2017-05-19,0,1000
600,2017-05-22,0,1010
601,2017-05-23,0,1010
602,2017-05-24,0,1010
603,2017-05-25,0,1000
604,2017-05-26,0,990
605,2017-05-29,0,1000
606,2017-05-30,0,1020
607,2017-05-31,0,990
608,2017-06-01,0,990
609,2017-06-02,0,970
610,2017-06-05,0,1010
611,2017-06-07,0,1080
612,2017-06-08,0,1160
613,2017-06-09,0,1140
614,2017-06-12,0,1110
615,2017-06-13,0,1090
616,2017-06-14,0,1110
617,2017-06-15,0,1080
618,2017-06-16,0,1070
619,2017-06-19,0,1070
620,2017-06-20,0,1070
621,2017-06-21,0,1060
622,2017-06-22,0,1040
623,2017-06-23,0,1040
624,2017-06-26,0,1060
625,2017-06-27,0,1070
626,2017-06-28,0,1090
627,2017-06-29,0,1080
628,2017-06-30,0,1070
629,2017-07-03,0,1140
630,2017-07-04,0,1160
631,2017-07-05,0,1180
632,2017-07-06,0,1170
633,2017-07-07,0,1135
634,2017-07-10,0,1165
635,2017-07-11,0,1170
636,2017-07-12,0,1190
637,2017-07-13,0,1190
638,2017-07-14,0,1180
639,2017-07-17,0,1180
640,2017-07-18,0,1210
641,2017-07-19,0,1220
642,2017-07-20,0,1210
643,2017-07-21,0,1240
644,2017-07-24,0,1260
645,2017-07-25,0,1260
646,2017-07-26,0,1260
647,2017-07-27,0,1250
648,2017-07-28,0,1250
649,2017-07-31,0,1250
650,2017-08-01,0,1260
651,2017-08-02,0,1250
652,2017-08-03,0,1260
653,2017-08-04,0,1250
654,2017-08-07,0,1260
655,2017-08-08,0,1250
656,2017-08-09,0,1250
657,2017-08-10,0,1270
658,2017-08-11,0,1260
659,2017-08-14,0,1280
660,2017-08-16,0,1300
661,2017-08-17,0,1310
662,2017-08-18,0,1300
663,2017-08-21,0,1290
664,2017-08-22,0,1310
665,2017-08-23,0,1300
666,2017-08-24,0,1300
667,2017-08-25,0,1300
668,2017-08-28,0,1280
669,2017-08-29,0,1290
670,2017-08-30,0,1280
671,2017-08-31,0,1290
672,2017-09-01,0,1300
673,2017-09-04,0,1290
674,2017-09-05,0,1300
675,2017-09-06,0,1290
676,2017-09-07,0,1290
677,2017-09-08,0,1290
678,2017-09-11,0,1290
679,2017-09-12,0,1290
680,2017-09-13,0,1290
681,2017-09-14,0,1290
682,2017-09-15,0,1290
683,2017-09-18,0,1280
684,2017-09-19,0,1290
685,2017-09-20,0,1280
686,2017-09-21,0,1280
687,2017-09-22,0,1260
688,2017-09-25,0,1260
689,2017-09-26,0,1260
690,2017-09-27,0,1260
691,2017-09-28,0,1240
692,2017-09-29,0,1250
693,2017-10-10,0,1220
694,2017-10-11,0,1210
695,2017-10-12,0,1240
696,2017-10-13,0,1240
697,2017-10-16,0,1240
698,2017-10-17,0,1240
699,2017-10-18,0,1260
700,2017-10-19,0,1260
701,2017-10-20,0,1260
702,2017-10-23,0,1260
703,2017-10-24,0,1270
704,2017-10-25,0,1250
705,2017-10-26,0,1240
706,2017-10-27,0,1240
707,2017-10-30,0,1250
708,2017-10-31,0,1250
709,2017-11-01,0,1250
710,2017-11-02,0,1240
711,2017-11-03,0,1240
712,2017-11-06,0,1250
713,2017-11-07,0,1250
714,2017-11-08,0,1260
715,2017-11-09,0,1260
716,2017-11-10,0,1260
717,2017-11-13,0,1260
718,2017-11-14,0,1240
719,2017-11-15,0,1240
720,2017-11-16,0,1240
721,2017-11-17,0,1240
722,2017-11-20,0,1250
723,2017-11-21,0,1250
724,2017-11-22,0,1250
725,2017-11-23,0,1250
726,2017-11-24,0,1250
727,2017-11-27,0,1240
728,2017-11-28,0,1240
729,2017-11-29,0,1240
730,2017-11-30,0,1240
731,2017-12-04,0,1240
732,2017-12-05,0.5,1230
733,2017-12-06,0,1230
734,2017-12-07,0,1230
735,2017-12-08,5,1230
736,2017-12-11,2.3,1230
737,2017-12-12,1.9,1230
738,2017-12-13,0,1230
739,2017-12-14,0,1230
740,2017-12-15,0,1220
741,2017-12-18,0,1210
742,2017-12-19,3.9,1210
743,2017-12-20,1.4,1210
744,2017-12-21,0,1210
745,2017-12-22,0,1210
746,2017-12-26,0,1210
747,2017-12-27,0,1210
748,2017-12-28,0,1210
749,2017-12-29,0,1210
750,2018-01-02,0,1210
751,2018-01-03,0,1210
752,2018-01-04,0,1200
753,2018-01-05,0,1190
754,2018-01-08,0,1190
755,2018-01-09,0,1190
756,2018-01-10,15.5,1190
757,2018-01-11,10.1,1190
758,2018-01-12,2.7,1200
759,2018-01-15,0,1190
760,2018-01-16,0,1190
761,2018-01-17,0,1200
762,2018-01-18,0,1200
763,2018-01-19,0,1200
764,2018-01-22,0,1185
765,2018-01-23,1,1185
766,2018-01-24,2.4,1185
767,2018-01-25,0.7,1185
768,2018-01-26,3.1,1205
769,2018-01-29,5.4,1205
770,2018-01-30,1.8,1205
771,2018-01-31,0,1180
772,2018-02-01,3.8,1180
773,2018-02-02,3.5,1180
774,2018-02-05,11.8,1170
775,2018-02-06,6,1160
776,2018-02-07,0.5,1160
777,2018-02-08,0,1160
778,2018-02-09,0,1160
779,2018-02-12,3,1140
780,2018-02-13,0.3,1130
781,2018-02-14,0,1150
782,2018-02-19,0,1130
783,2018-02-20,0,1120
784,2018-02-21,0,1120
785,2018-02-22,0,1060
786,2018-02-23,0,1060
787,2018-02-26,0,1060
788,2018-02-27,0,1060
789,2018-02-28,0,1040
790,2018-03-02,0,1020
791,2018-03-05,0,1020
792,2018-03-06,0,1010
793,2018-03-07,0,1010
794,2018-03-08,0,1000
795,2018-03-09,0,930
796,2018-03-12,0,950
797,2018-03-13,0,940
798,2018-03-14,0,930
799,2018-03-15,0,930
800,2018-03-16,0,930
801,2018-03-19,0,880
802,2018-03-20,0,870
803,2018-03-21,0,860
804,2018-03-22,0,860
805,2018-03-23,0,840
806,2018-03-26,0,840
807,2018-03-27,0,820
808,2018-03-28,0,820
809,2018-03-29,0,800
810,2018-03-30,0,780
811,2018-04-02,0,750
812,2018-04-03,0,750
813,2018-04-04,0,740
814,2018-04-05,0,710
815,2018-04-06,0,710
816,2018-04-09,0,670
817,2018-04-10,0,660
818,2018-04-11,0,805
819,2018-04-12,0,825
820,2018-04-13,0,815
821,2018-04-16,0,795
822,2018-04-17,0,765
823,2018-04-18,0,770
824,2018-04-19,0,765
825,2018-04-20,0,890
826,2018-04-23,0,900
827,2018-04-24,0,950
828,2018-04-25,0,1020
829,2018-04-26,0,1040
830,2018-04-27,0,1030
831,2018-04-30,0,1030
832,2018-05-02,0,1020
833,2018-05-03,0,1030
834,2018-05-04,0,1020
835,2018-05-08,0,930
836,2018-05-09,0,910
837,2018-05-10,0,910
838,2018-05-11,0,910
839,2018-05-14,0,890
840,2018-05-15,0,870
841,2018-05-16,0,830
842,2018-05-17,0,820
843,2018-05-18,0,810
844,2018-05-21,0,780
845,2018-05-23,0,800
846,2018-05-24,0,800
847,2018-05-25,0,720
848,2018-05-28,0,660
849,2018-05-29,0,660
850,2018-05-30,0,660
851,2018-05-31,0,670
852,2018-06-01,0,670
853,2018-06-04,0,680
854,2018-06-05,0,680
855,2018-06-07,0,750
856,2018-06-08,0,750
857,2018-06-11,0,710
858,2018-06-12,0,730
859,2018-06-14,0,740
860,2018-06-15,0,740
861,2018-06-18,0,740
862,2018-06-19,0,730
863,2018-06-20,0,710
864,2018-06-21,0,705
865,2018-06-22,0,690
866,2018-06-25,0,670
867,2018-06-26,0,650
868,2018-06-27,0,650
869,2018-06-28,0,650
870,2018-06-29,0,650
871,2018-07-02,0,650
872,2018-07-03,0,650
873,2018-07-04,0,660
874,2018-07-05,0,650
875,2018-07-06,0,640
876,2018-07-09,0,640
877,2018-07-10,0,660
878,2018-07-11,0,670
879,2018-07-12,0,680
880,2018-07-13,0,680
881,2018-07-16,0,690
882,2018-07-17,0,690
883,2018-07-18,0,690
884,2018-07-19,0,680
885,2018-07-20,0,680
886,2018-07-23,0,690
887,2018-07-24,0,650
888,2018-07-25,0,650
889,2018-07-26,0,650
890,2018-07-27,0,646
891,2018-07-30,0,666
892,2018-07-31,0,670
893,2018-08-01,0,670
894,2018-08-02,0,670
895,2018-08-03,0,700
896,2018-08-06,0,730
897,2018-08-07,0,730
898,2018-08-08,0,770
899,2018-08-09,0,760
900,2018-08-10,0,780
901,2018-08-13,0,810
902,2018-08-14,0,780
903,2018-08-16,0,790
904,2018-08-17,0,790
905,2018-08-20,0,810
906,2018-08-21,0,810
907,2018-08-22,0,810
908,2018-08-23,0,790
909,2018-08-24,0,790
910,2018-08-27,0,810
911,2018-08-28,0,790
912,2018-08-29,0,790
913,2018-08-30,0,790
914,2018-08-31,0,750
915,2018-09-03,0,780
916,2018-09-04,0,770
917,2018-09-05,0,770
918,2018-09-06,0,780
919,2018-09-07,0,800
920,2018-09-10,0,810
921,2018-09-11,0,810
922,2018-09-12,0,790
923,2018-09-13,0,790
924,2018-09-14,0,790
925,2018-09-17,0,790
926,2018-09-18,0,790
927,2018-09-19,0,760
928,2018-09-20,0,760
929,2018-09-21,0,760
930,2018-09-27,0,750
931,2018-09-28,0,760
932,2018-10-01,0,760
933,2018-10-02,0,740
934,2018-10-04,0,740
935,2018-10-05,0,740
936,2018-10-08,0,740
937,2018-10-10,0,740
938,2018-10-11,0,720
939,2018-10-12,0,720
940,2018-10-15,0,740
941,2018-10-16,0,740
942,2018-10-17,0,725
943,2018-10-18,0,715
944,2018-10-19,0,725
945,2018-10-22,0,725
946,2018-10-23,0,705
947,2018-10-24,0,705
948,2018-10-25,0,680
949,2018-10-26,0,680
950,2018-10-29,0,680
951,2018-10-30,0,690
952,2018-10-31,0,700
953,2018-11-01,0,710
954,2018-11-02,0,710
955,2018-11-05,0,710
956,2018-11-06,0,730
957,2018-11-07,0,730
958,2018-11-08,0,730
959,2018-11-09,0,720
960,2018-11-12,0,720
961,2018-11-13,0,720
962,2018-11-14,0,720
963,2018-11-15,0,740
964,2018-11-16,0,690
965,2018-11-19,0,690
966,2018-11-20,0,705
967,2018-11-21,0,685
968,2018-11-22,0,685
969,2018-11-23,0,665
970,2018-11-26,0,665
971,2018-11-27,0,665
972,2018-11-28,0,665
973,2018-11-29,0,665
974,2018-11-30,0,665
975,2018-12-03,0,660
976,2018-12-04,0,680
977,2018-12-05,0,670
978,2018-12-06,2.4,670
979,2018-12-10,0.4,670
980,2018-12-11,0,670
981,2018-12-12,0,670
982,2018-12-13,0,670
983,2018-12-14,0,670
984,2018-12-17,0,670
985,2018-12-18,0,660
986,2018-12-19,0,660
987,2018-12-20,0,650
988,2018-12-21,0,650
989,2018-12-24,0,650
990,2018-12-26,0,650
991,2018-12-27,5.1,650
992,2018-12-28,3.8,640
993,2018-12-31,0.4,640
994,2019-01-02,0,640
995,2019-01-03,0,640
996,2019-01-04,0,650
997,2019-01-07,0,650
998,2019-01-08,0,640
999,2019-01-09,0,640
1000,2019-01-10,0,600
1001,2019-01-11,0,600
1002,2019-01-14,0,610
1003,2019-01-15,0,610
1004,2019-01-16,0,623
1005,2019-01-17,0,623
1006,2019-01-18,0,623
1007,2019-01-21,0,623
1008,2019-01-22,0,594
1009,2019-01-23,0,594
1010,2019-01-24,0,594
1011,2019-01-25,0,594
1012,2019-01-28,0,594
1013,2019-01-29,0,594
1014,2019-01-30,0,594
1015,2019-01-31,3.9,604
1016,2019-02-01,0,604
1017,2019-02-07,0,594
1018,2019-02-08,0,584
1019,2019-02-11,0,584
1020,2019-02-12,0,594
1021,2019-02-13,0,594
1022,2019-02-14,0,594
1023,2019-02-15,0,594
1024,2019-02-18,0,604
