date,uga,price
2017-05-02,53.565,810
2017-05-04,48.825,860
2017-05-08,48.805,860
2017-05-10,49.01,860
2017-05-11,49.64,880
2017-05-12,49.46,890
2017-05-15,50.82,850
2017-05-16,51.09,850
2017-05-17,50.42,850
2017-05-18,51,850
2017-05-19,51.96,820
2017-05-22,52.79,760
2017-05-23,52.31,760
2017-05-24,53.1,760
2017-05-25,52.78,720
2017-05-26,50.42,670
2017-05-29,50.65,610
2017-05-30,50.48,620
2017-05-31,50.09,630
2017-06-01,50.16,640
2017-06-02,48.34,640
2017-06-05,48.77,660
2017-06-07,48.42,640
2017-06-08,47.07,640
2017-06-09,46.46,640
2017-06-12,47.02,570
2017-06-13,47.3,590
2017-06-14,46.84,590
2017-06-15,45.37,580
2017-06-16,45.88,560
2017-06-19,45.68,630
2017-06-20,45.62,610
2017-06-21,44.32,570
2017-06-22,43.5,590
2017-06-23,44.17,640
2017-06-26,45.265,590
2017-06-27,45.03,640
2017-06-28,45.3,650
2017-06-29,46.36,630
2017-06-30,46.47,590
2017-07-03,47.62,640
2017-07-04,48.43,620
2017-07-05,48.34,630
2017-07-06,47.07,590
2017-07-07,46.05,580
2017-07-10,45.24,600
2017-07-11,45.27,620
2017-07-12,46.82,620
2017-07-13,46.1,620
2017-07-14,46.99,620
2017-07-17,47.65,700
2017-07-18,47.2,700
2017-07-19,47.41,710
2017-07-20,48.33,680
2017-07-21,48.17,700
2017-07-24,46.51,880
2017-07-25,47.3,860
2017-07-26,49.05,930
2017-07-27,49.35,930
2017-07-28,49.72,970
2017-07-31,50.38,930
2017-08-01,51.22,920
2017-08-02,50.29,1030
2017-08-03,50.83,1040
2017-08-04,50.36,1030
2017-08-07,50.8,1055
2017-08-08,51.24,1050
2017-08-09,51.43,1035
2017-08-10,51.62,1045
2017-08-11,49.86,1180
2017-08-14,50.36,1160
2017-08-16,49.53,1150
2017-08-17,48.65,1150
2017-08-18,49.26,1150
2017-08-21,50.72,1140
2017-08-22,49.97,1120
2017-08-23,49.93,1060
2017-08-24,50.55,1060
2017-08-25,50.56,1130
2017-08-28,50.55,1110
2017-08-29,50.1,1080
2017-08-30,49.93,1070
2017-08-31,49.26,1020
2017-09-01,50.35,990
2017-09-04,50.6,1060
2017-09-05,51.02,1030
2017-09-06,52.14,1010
2017-09-07,52.99,990
2017-09-08,53.18,980
2017-09-11,52.14,980
2017-09-12,52.17,1010
2017-09-13,52.87,950
2017-09-14,53.57,940
2017-09-15,53.64,910
2017-09-18,54.19,850
2017-09-19,54.07,810
2017-09-20,53.93,810
2017-09-21,54.65,790
