date,place,gangsu,price
2016-06-23,100,0.1,650
2016-06-24,100,11.9,660
2016-06-27,100,,640
2016-06-28,100,,620
2016-06-29,100,,570
2016-06-30,100,9.9,570
2016-07-01,100,59.3,570
2016-07-04,100,99.9,570
2016-07-05,100,98.8,620
2016-07-06,100,22.3,650
2016-07-07,100,,720
2016-07-08,100,,720
2016-07-11,100,,700
2016-07-12,100,2.6,740
2016-07-13,100,,840
2016-07-14,100,19.1,840
2016-07-15,100,,840
2016-07-18,100,,840
2016-07-19,100,,820
2016-07-20,100,0.2,790
2016-07-21,100,,760
2016-07-22,100,,770
2016-07-25,100,0,770
2016-07-26,100,,780
2016-07-27,100,,780
2016-07-28,100,,810
2016-07-29,100,,830
2016-08-01,100,11.4,1060
2016-08-02,100,0.5,1140
2016-08-03,100,,1160
2016-08-04,100,0,1120
2016-08-05,100,,1180
2016-08-08,100,0.2,1120
2016-08-09,100,0.3,1180
2016-08-10,100,,1280
2016-08-11,100,,1320
2016-08-12,100,,1340
2016-08-16,100,2.4,1380
2016-08-17,100,0,1520
2016-08-18,100,,1520
2016-08-19,100,,1560
2016-08-22,100,,1780
2016-08-23,100,,1820
2016-08-24,100,,1820
2016-08-25,100,4.4,1840
2016-08-26,100,35.4,1920
2016-08-29,100,32.6,2000
2016-08-30,100,7.3,2160
2016-08-31,100,2.4,2300
2016-09-01,100,,2380
2016-09-02,100,1.4,2340
2016-09-05,100,8.2,2300
2016-09-06,100,,2260
2016-09-07,100,,2220
2016-09-08,100,4,2300
2016-09-09,100,4.2,2140
2016-09-12,100,0,2100
2016-09-13,100,0.4,2300
2016-09-19,100,15.9,1980
2016-09-20,100,,2020
2016-09-21,100,,2040
2016-09-22,100,,2000
2016-09-23,100,,1960
2016-09-26,100,,1980
2016-09-27,100,3,1980
2016-09-28,100,3.2,1960
2016-09-29,100,1.6,1860
2016-09-30,100,,1860
2016-10-04,100,1.1,1780
2016-10-05,100,21.5,1660
2016-10-06,100,,1600
2016-10-07,100,3.9,1480
2016-10-10,100,,1260
2016-10-11,100,,1160
2016-10-12,100,,1040
2016-10-13,100,,960
2016-10-14,100,,1000
2016-10-17,100,,1000
2016-10-18,100,,1000
2016-10-19,100,,940
2016-10-20,100,3.3,880
2016-10-21,100,0.8,880
2016-10-24,100,,800
2016-10-25,100,20.7,800
2016-10-26,100,,800
2016-10-27,100,0.1,740
2016-10-28,100,0.5,740
2016-10-31,100,,740
2016-11-01,100,,710
2016-11-02,100,0,700
2016-11-03,100,0,700
2016-11-04,100,,690
2016-11-07,100,1.6,660
2016-11-08,100,1.5,680
2016-11-09,100,,740
2016-11-10,100,,720
2016-11-11,100,0,740
2016-11-14,100,,740
2016-11-15,100,,740
2016-11-16,100,,800
2016-11-17,100,,820
2016-11-18,100,1.6,980
2016-11-21,100,,1020
2016-11-22,100,0.7,1000
2016-11-23,100,0,1020
2016-11-24,100,,1040
2016-11-25,100,,1040
2016-11-28,100,,1040
2016-11-29,100,,1040
2016-11-30,100,,1020
2016-12-01,100,,1040
2016-12-05,100,1.4,1020
2016-12-06,100,,1000
2016-12-07,100,0,940
2016-12-08,100,0,940
2016-12-09,100,1,880
2016-12-12,100,,920
2016-12-13,100,0.1,900
2016-12-14,100,11,880
2016-12-15,100,0,880
2016-12-16,100,,960
2016-12-19,100,0.1,920
2016-12-20,100,,900
2016-12-21,100,19.2,950
2016-12-22,100,15.8,930
2016-12-23,100,0,900
2016-12-26,100,2.6,920
2016-12-27,100,1.8,920
2016-12-28,100,0,920
2016-12-29,100,,920
2016-12-30,100,,900
2017-01-02,100,,960
2017-01-03,100,,1000
2017-01-04,100,,1040
2017-01-05,100,2.9,980
2017-01-06,100,,940
2017-01-09,100,0.7,940
2017-01-10,100,,940
2017-01-11,100,,1000
2017-01-12,100,,1000
2017-01-13,100,,1000
2017-01-16,100,,1040
2017-01-17,100,,1020
2017-01-18,100,,1000
2017-01-19,100,,980
2017-01-20,100,10.1,980
2017-01-23,100,,1080
2017-01-24,100,,1080
2017-01-25,100,,1080
2017-01-26,100,,1080
2017-01-31,100,,1080
2017-02-01,100,,1020
2017-02-02,100,,1040
2017-02-03,100,,1020
2017-02-06,100,,1020
2017-02-07,100,,1020
2017-02-08,100,,1020
2017-02-09,100,,1020
2017-02-10,100,,1020
2017-02-13,100,,1020
2017-02-14,100,,960
2017-02-15,100,,960
2017-02-16,100,,960
2017-02-17,100,2.8,900
2017-02-20,100,0,1030
2017-02-21,100,,1060
2017-02-22,100,4.4,1020
2017-02-23,100,,1020
2017-02-24,100,,1020
2017-02-27,100,,1000
2017-02-28,100,,1000
2017-03-02,100,4.6,1000
2017-03-03,100,,960
2017-03-06,100,0.5,960
2017-03-07,100,,960
2017-03-08,100,,960
2017-03-09,100,,960
2017-03-10,100,,960
2017-03-13,100,,930
2017-03-14,100,0.4,930
2017-03-15,100,,930
2017-03-16,100,,950
2017-03-17,100,,950
2017-03-20,100,,950
2017-03-21,100,0.6,950
2017-03-22,100,,930
2017-03-23,100,,890
2017-03-24,100,,930
2017-03-27,100,1.4,990
2017-03-28,100,,950
2017-03-29,100,,930
2017-03-30,100,,930
2017-03-31,100,6.9,930
2017-04-03,100,,930
2017-04-04,100,,930
