date,gangsu,price
2016-09-07,1.1,1140
2016-09-08,,1130
2016-09-09,,1110
2016-09-12,6.3,1160
2016-09-13,,1300
2016-09-19,,1090
2016-09-20,,1190
2016-09-21,,1140
2016-09-22,,1120
2016-09-23,,1090
2016-09-26,2.8,1100
2016-09-27,11.8,1150
2016-09-28,5.6,1210
2016-09-29,1.7,1180
2016-09-30,18.5,1150
2016-10-04,0.1,1300
2016-10-05,63.8,1390
2016-10-06,,1500
2016-10-07,5.3,1550
2016-10-10,,1590
2016-10-11,,1460
2016-10-12,,1390
2016-10-13,,1360
2016-10-14,,1310
2016-10-17,1.5,1310
2016-10-18,,1270
2016-10-19,,1240
2016-10-20,,1250
2016-10-21,,1270
2016-10-24,,1250
2016-10-25,10.3,1250
2016-10-26,,1270
2016-10-27,,1300
2016-10-28,3.4,1300
2016-10-31,0.1,1000
2016-11-01,,900
2016-11-02,,895
2016-11-03,0.1,860
2016-11-04,,855
2016-11-07,,855
2016-11-08,0.8,840
2016-11-09,,860
2016-11-10,2.9,840
2016-11-11,0.6,840
2016-11-14,0.1,870
2016-11-15,,880
2016-11-16,,880
2016-11-17,,900
2016-11-18,5,890
2016-11-21,,920
2016-11-22,,940
2016-11-23,,930
2016-11-24,,910
2016-11-25,,910
2016-11-28,,910
2016-11-29,,910
2016-11-30,3.6,1000
2016-12-01,0.6,1050
2016-12-05,,1140
2016-12-06,,1110
2016-12-07,0.2,1170
2016-12-08,0.2,1170
2016-12-09,2,1200
2016-12-12,,1210
2016-12-13,,1230
2016-12-14,,1270
2016-12-15,,1375
2016-12-16,,1390
2016-12-19,3.9,1365
2016-12-20,,1375
2016-12-21,11.3,1435
2016-12-22,12.2,1420
2016-12-23,3.3,1450
2016-12-26,12.5,1340
2016-12-27,,1290
2016-12-28,,1255
2016-12-29,0.3,1255
2016-12-30,,1200
2017-01-02,0.4,1190
2017-01-03,,1250
2017-01-04,,1260
2017-01-05,0.1,1260
2017-01-06,,1190
2017-01-09,0.3,1130
2017-01-10,,1130
2017-01-11,,1070
2017-01-12,0.2,1000
2017-01-13,1.1,970
2017-01-16,,970
2017-01-17,,990
2017-01-18,,996
2017-01-19,,1040
2017-01-20,5.7,1040
2017-01-23,,990
2017-01-24,,990
2017-01-25,,990
2017-01-26,,990
2017-01-31,,970
2017-02-01,,1000
2017-02-02,,1040
2017-02-03,,1040
2017-02-06,,1010
2017-02-07,,1000
2017-02-08,0.3,1000
2017-02-09,0.6,980
2017-02-10,0.9,970
2017-02-13,,980
2017-02-14,,960
2017-02-15,,960
2017-02-16,3.3,950
2017-02-17,0.4,870
2017-02-20,12.4,920
2017-02-21,,860
2017-02-22,29,850
2017-02-23,,840
2017-02-24,,840
2017-02-27,,940
2017-02-28,,940
2017-03-02,2.5,940
2017-03-03,,910
2017-03-06,,890
2017-03-07,0.9,890
2017-03-08,0.4,880
2017-03-09,,830
2017-03-10,,830
2017-03-13,,790
2017-03-14,,830
2017-03-15,,800
2017-03-16,,810
2017-03-17,,790
2017-03-20,5.8,790
2017-03-21,2.2,830
2017-03-22,,800
2017-03-23,,780
2017-03-24,,810
2017-03-27,0.8,830
2017-03-28,1.8,850
2017-03-29,1.5,870
2017-03-30,,850
2017-03-31,0.7,830
2017-04-03,,770
2017-04-04,,760
2017-04-05,17.1,750
2017-04-06,14,790
2017-04-07,,800
2017-04-10,,800
2017-04-11,13.1,790
2017-04-12,,790
2017-04-13,,790
2017-04-14,0.4,810
2017-04-17,10.5,790
2017-04-18,0.5,770
2017-04-19,,800
2017-04-20,0.7,840
2017-04-21,,810
2017-04-24,,740
2017-04-25,5.4,780
2017-04-26,1.1,800
2017-04-27,,810
2017-04-28,,820
2017-05-02,,810
2017-05-04,0.4,860
2017-05-08,,860
2017-05-10,1.4,860
2017-05-11,1.9,880
2017-05-12,0.4,890
2017-05-15,,850
2017-05-16,,850
2017-05-17,,850
2017-05-18,,850
2017-05-19,,820
2017-05-22,,760
2017-05-23,,760
2017-05-24,2.2,760
2017-05-25,,720
2017-05-26,,670
2017-05-29,,610
2017-05-30,,620
2017-05-31,0.1,630
2017-06-01,,640
2017-06-02,,640
2017-06-05,,660
2017-06-07,0.6,640
2017-06-08,,640
2017-06-09,,640
2017-06-12,,570
2017-06-13,3.4,590
2017-06-14,,590
2017-06-15,,580
2017-06-16,,560
2017-06-19,,630
2017-06-20,,610
2017-06-21,,570
2017-06-22,,590
2017-06-23,,640
2017-06-26,0,590
2017-06-27,0,640
2017-06-28,0.1,650
2017-06-29,0.6,630
2017-06-30,11.3,590
2017-07-03,6.4,640
2017-07-04,7.3,620
2017-07-05,0,630
2017-07-06,4.5,590
2017-07-07,1.8,580
2017-07-10,0.8,600
2017-07-11,0.7,620
2017-07-12,,620
2017-07-13,,620
2017-07-14,20.2,620
2017-07-17,8.1,700
2017-07-18,4.5,700
2017-07-19,,710
2017-07-20,,680
2017-07-21,,700
2017-07-24,,880
2017-07-25,18.1,860
2017-07-26,,930
2017-07-27,,930
2017-07-28,0,970
2017-07-31,12.8,930
2017-08-01,0,920
2017-08-02,0.2,1030
2017-08-03,,1040
2017-08-04,,1030
2017-08-07,,1055
2017-08-08,,1050
2017-08-09,14.6,1035
2017-08-10,,1045
2017-08-11,,1180
2017-08-14,21.2,1160
2017-08-16,0.3,1150
2017-08-17,,1150
2017-08-18,,1150
2017-08-21,67.7,1140
2017-08-22,20,1120
2017-08-23,,1060
2017-08-24,0.6,1060
2017-08-25,3.5,1130
2017-08-28,,1110
2017-08-29,25.2,1080
2017-08-30,,1070
2017-08-31,,1020
2017-09-01,,990
2017-09-04,,1060
2017-09-05,0.3,1030
2017-09-06,22.4,1010
2017-09-07,0.2,990
2017-09-08,,980
2017-09-11,82.1,980
2017-09-12,,1010
2017-09-13,,950
2017-09-14,,940
2017-09-15,,910
2017-09-18,,850
2017-09-19,,810
2017-09-20,,810
2017-09-21,,790
2017-09-22,,760
2017-09-25,,720
2017-09-26,,670
2017-09-27,12.6,670
2017-09-28,,660
2017-09-29,,650
2017-10-10,,650
2017-10-11,4,650
2017-10-12,20.4,620
2017-10-13,,610
2017-10-16,,490
2017-10-17,,440
2017-10-18,0,420
2017-10-19,,430
2017-10-20,,440
2017-10-23,,433
2017-10-24,0,433
2017-10-25,,423
2017-10-26,,423
2017-10-27,,423
2017-10-30,,415
2017-10-31,,405
2017-11-01,,405
2017-11-02,,405
2017-11-03,0.2,435
2017-11-06,,455
2017-11-07,,445
2017-11-08,,445
2017-11-09,,425
2017-11-10,0.1,425
2017-11-13,,425
2017-11-14,,415
2017-11-15,0,410
2017-11-16,,420
2017-11-17,0,420
2017-11-20,,420
2017-11-21,,430
2017-11-22,0,430
2017-11-23,2.9,430
2017-11-24,1.9,490
2017-11-27,,480
2017-11-28,0,480
2017-11-29,,470
2017-11-30,,480
2017-12-04,0.3,450
2017-12-05,0,435
2017-12-06,,435
2017-12-07,0.6,440
2017-12-08,,460
2017-12-11,0.8,470
2017-12-12,,470
2017-12-13,,470
2017-12-14,,455
2017-12-15,,435
2017-12-18,0,468
2017-12-19,,468
2017-12-20,0,468
2017-12-21,,468
2017-12-22,,468
2017-12-26,0.2,510
2017-12-27,,490
2017-12-28,,480
2017-12-29,,480
2018-01-02,0,432
2018-01-03,,459
2018-01-04,,468
2018-01-05,,468
2018-01-08,4,468
2018-01-09,4.5,469
2018-01-10,5.6,461
2018-01-11,0,471
2018-01-12,,451
2018-01-15,,440
2018-01-16,17.3,450
2018-01-17,5.2,450
2018-01-18,0,440
2018-01-19,,440
2018-01-22,3,440
2018-01-23,,440
2018-01-24,,440
2018-01-25,,440
2018-01-26,,440
2018-01-29,,480
2018-01-30,,525
2018-01-31,,575
2018-02-01,,575
2018-02-02,,670
2018-02-05,,830
2018-02-06,,930
2018-02-07,0.4,950
2018-02-08,,970
2018-02-09,,930
2018-02-12,0.9,880
2018-02-13,0.7,830
2018-02-14,,820
