date,uga
2015-06-16,60.46
2015-06-17,60.81
2015-06-18,60.98
2015-06-19,60.93
2015-06-20,60.4
2015-06-21,60.52
2015-06-22,59.82
2015-06-23,60.11
2015-06-24,61.09
2015-06-25,60.26
2015-06-26,60.01
2015-06-27,59.81
2015-06-28,59.785
2015-06-29,59.36
2015-06-30,59.56
2015-07-01,60.93
2015-07-02,59.51
2015-07-03,59.45
2015-07-04,58.72
2015-07-05,57.305
2015-07-06,57.93
2015-07-07,55.16
2015-07-08,54.98
2015-07-09,56.69
2015-07-10,58.19
2015-07-11,57.22
2015-07-12,57.22
2015-07-13,57.75
2015-07-14,56.25
2015-07-15,56.93
2015-07-16,55.75
2015-07-17,62.365
2015-07-18,55.575
2015-07-19,62.365
2015-07-20,55.4
2015-07-21,54.68
2015-07-22,55.03
2015-07-23,54.22
2015-07-24,53.45
2015-07-25,53.545
2015-07-26,52.65
2015-07-27,52.87
2015-07-28,51.85
2015-07-29,51.86
2015-07-30,52.53
2015-07-31,52.07
2015-08-01,51.82
2015-08-02,51.1
2015-08-03,51.11
2015-08-04,50.13
2015-08-05,50.09
2015-08-06,49.71
2015-08-07,50.15
2015-08-08,50.15
2015-08-09,50.15
2015-08-10,50.15
2015-08-11,50.59
2015-08-12,49.37
2015-08-13,49.87
2015-08-14,49.43
2015-08-15,49.2
2015-08-16,48.825
2015-08-17,48.53
2015-08-18,48.22
2015-08-19,48.27
2015-08-20,46.73
2015-08-21,46.23
2015-08-22,45.565
2015-08-23,44.445
2015-08-24,44.4
2015-08-25,42.66
2015-08-26,42.94
2015-08-27,43.57
2015-08-28,46.84
2015-08-29,46.145
2015-08-30,48.41
2015-08-31,48.72
2015-09-01,49.98
2015-09-02,46.16
2015-09-03,47.01
2015-09-04,47.19
2015-09-05,46.805
2015-09-06,46.56
2015-09-07,46.6
2015-09-08,45.93
2015-09-09,47.55
2015-09-10,45.75
2015-09-11,51.1
2015-09-12,45.61
2015-09-13,51.1
2015-09-14,45.47
2015-09-15,43.87
2015-09-16,44.08
2015-09-17,46.78
2015-09-18,45.99
2015-09-19,45.68
2015-09-20,45.495
2015-09-21,44.58
2015-09-22,45
2015-09-23,45.13
2015-09-24,51.1
2015-09-25,44.98
2015-09-26,51.1
2015-09-27,44.465
2015-09-28,45.01
2015-09-29,43.95
2015-09-30,44.31
2015-10-01,45.92
2015-10-02,45.38
2015-10-03,45.915
2015-10-04,45.93
2015-10-05,45.91
2015-10-06,46.48
2015-10-07,48.97
2015-10-08,48.41
2015-10-09,49.99
2015-10-10,49.01
2015-10-11,48.535
2015-10-12,49.61
2015-10-13,47.08
2015-10-14,46.52
2015-10-15,46.44
2015-10-16,46.58
2015-10-17,46.33
2015-10-18,45.595
2015-10-19,46.22
2015-10-20,44.61
2015-10-21,44.43
2015-10-22,43.71
2015-10-23,43.9
2015-10-24,43.595
2015-10-25,43.455
2015-10-26,43.48
2015-10-27,43.01
2015-10-28,43.11
2015-10-29,44.45
2015-10-30,43.94
2015-10-31,44.5
2015-11-01,43.915
2015-11-02,44.55
2015-11-03,43.89
2015-11-04,45.45
2015-11-05,43.7
2015-11-06,43.16
2015-11-07,43.29
2015-11-08,51.1
2015-11-09,42.88
2015-11-10,51.1
2015-11-11,42.59
2015-11-12,41.68
2015-11-13,40.77
2015-11-14,41.015
2015-11-15,40.58
2015-11-16,40.35
2015-11-17,40.39
2015-11-18,39.64
2015-11-19,40.13
2015-11-20,40.07
2015-11-21,39.85
2015-11-22,40.385
2015-11-23,39.57
2015-11-24,40.7
2015-11-25,41.4
2015-11-26,40.94
2015-11-27,40.37
2015-11-28,40.405
2015-11-29,40.085
2015-11-30,39.87
2015-12-01,39.8
2015-12-02,39.75
2015-12-03,38.29
2015-12-04,39.11
2015-12-05,38.32
2015-12-06,38.01
2015-12-07,38.35
2015-12-08,36.91
2015-12-09,36.49
2015-12-10,36.51
2015-12-11,36.2
2015-12-12,35.575
2015-12-13,35.01
2015-12-14,34.64
2015-12-15,33.82
2015-12-16,34.24
2015-12-17,32.86
2015-12-18,32.98
2015-12-19,32.42
2015-12-20,32.49
2015-12-21,31.98
2015-12-22,32
2015-12-23,31.82
2015-12-24,32.83
2015-12-25,51.1
2015-12-26,32.72
2015-12-27,51.1
2015-12-28,32.61
2015-12-29,32.11
2015-12-30,32.74
2015-12-31,32.19
2016-01-01,32.54
2016-01-02,32.54
2016-01-03,32.54
2016-01-04,32.54
2016-01-05,31.66
2016-01-06,30.76
2016-01-07,27.96
2016-01-08,29.11
2016-01-09,28.6
2016-01-10,27.225
2016-01-11,28.07
2016-01-12,26.44
2016-01-13,26.49
2016-01-14,26.04
2016-01-15,26.22
2016-01-16,25.605
2016-01-17,24.7
2016-01-18,24.65
2016-01-19,24.72
2016-01-20,23.36
2016-01-21,22.83
2016-01-22,23.88
2016-01-23,24.1
2016-01-24,24.47
2016-01-25,26.1
2016-01-26,24.84
2016-01-27,26.11
2016-01-28,27.08
2016-01-29,28.37
2016-01-30,27.095
2016-01-31,27.3
2016-02-01,29.01
2016-02-02,28.08
2016-02-03,27.52
2016-02-04,29.51
2016-02-05,29.22
2016-02-06,28.6
2016-02-07,27.855
2016-02-08,27.65
2016-02-09,28.6
2016-02-10,26.2
2016-02-11,26.08
2016-02-12,26.86
2016-02-13,28.43
2016-02-14,27.195
2016-02-15,29.22
2016-02-16,30.66
2016-02-17,28.31
2016-02-18,30.25
2016-02-19,30.07
2016-02-20,29
2016-02-21,29.41
2016-02-22,29.33
2016-02-23,29.69
2016-02-24,28.57
2016-02-25,29.46
2016-02-26,30.43
2016-02-27,30.11
2016-02-28,30.705
2016-02-29,29.99
2016-03-01,31.65
2016-03-02,31.95
2016-03-03,32.04
2016-03-04,32.17
2016-03-05,33.755
2016-03-06,33.535
2016-03-07,34.39
2016-03-08,35.56
2016-03-09,35.03
2016-03-10,36.25
2016-03-11,36.37
2016-03-12,34.845
2016-03-13,35.525
2016-03-14,35.69
2016-03-15,34.66
2016-03-16,34.8
2016-03-17,36.67
2016-03-18,37.42
2016-03-19,36.115
2016-03-20,36.905
2016-03-21,37.14
2016-03-22,37.43
2016-03-23,37.14
2016-03-24,36.04
2016-03-25,36.87
2016-03-26,36.655
2016-03-27,35.745
2016-03-28,36.31
2016-03-29,36.17
2016-03-30,35.45
2016-03-31,35.05
2016-04-01,36.22
2016-04-02,34.64
2016-04-03,34.87
2016-04-04,34.84
2016-04-05,33.83
2016-04-06,34.69
2016-04-07,36.48
2016-04-08,36.71
2016-04-09,36.68
2016-04-10,38.295
2016-04-11,37.79
2016-04-12,38.67
2016-04-13,40.11
2016-04-14,39.66
2016-04-15,39.37
2016-04-16,39.64
2016-04-17,39.345
2016-04-18,37.73
2016-04-19,39.17
2016-04-20,39.03
2016-04-21,41.7
2016-04-22,41.01
2016-04-23,39.93
2016-04-24,42.145
2016-04-25,40.86
2016-04-26,40.83
2016-04-27,42.59
2016-04-28,43.22
2016-04-29,44.26
2016-04-30,42.81
2016-05-01,42.635
2016-05-02,43.355
2016-05-03,43.03
2016-05-04,42.05
2016-05-05,42.45
2016-05-06,42.2
2016-05-07,41.64
2016-05-08,42.315
2016-05-09,42.84
2016-05-10,41.23
2016-05-11,42.18
2016-05-12,44.65
2016-05-13,44.39
2016-05-14,43.93
2016-05-15,45.205
2016-05-16,45.35
2016-05-17,45.68
2016-05-18,45.76
2016-05-19,44.75
2016-05-20,45.65
2016-05-21,45.155
2016-05-22,45.01
2016-05-23,44.87
2016-05-24,44.55
2016-05-25,45.27
2016-05-26,45.74
2016-05-27,45.31
2016-05-28,45.585
2016-05-29,45.59
2016-05-30,45.54
2016-05-31,45.9
2016-06-01,45.44
2016-06-02,46.17
2016-06-03,46.28
2016-06-04,46.13
2016-06-05,47.08
2016-06-06,45.91
2016-06-07,46.82
2016-06-08,47.99
2016-06-09,48.98
2016-06-10,48.23
2016-06-11,47.145
2016-06-12,47.535
2016-06-13,47.06
2016-06-14,46.3
2016-06-15,46.09
2016-06-16,44.93
2016-06-17,44.48
2016-06-18,46.245
2016-06-19,46.025
2016-06-20,46.53
2016-06-21,46.4
2016-06-22,47.12
2016-06-23,46.48
2016-06-24,45.47
2016-06-25,45.835
2016-06-26,46.105
2016-06-27,45.11
2016-06-28,44.55
2016-06-29,45.73
2016-06-30,46.46
2016-07-01,45.19
2016-07-02,45.37
2016-07-03,46.17
2016-07-04,46.97
2016-07-05,45.01
2016-07-06,45
2016-07-07,44.99
2016-07-08,42.5
2016-07-09,43.79
2016-07-10,44.2
2016-07-11,41.97
2016-07-12,42.58
2016-07-13,43.41
2016-07-14,42.31
2016-07-15,42.59
2016-07-16,42.81
2016-07-17,42.275
2016-07-18,43.38
2016-07-19,42.21
2016-07-20,42.24
2016-07-21,42.73
2016-07-22,41.63
2016-07-23,41.305
2016-07-24,41.66
2016-07-25,41.38
2016-07-26,40.37
2016-07-27,40.59
2016-07-28,39.88
2016-07-29,38.64
2016-07-30,39.72
2016-07-31,39.21
2016-08-01,40.04
2016-08-02,38.85
2016-08-03,38.54
2016-08-04,39.99
2016-08-05,41.22
2016-08-06,41.22
2016-08-07,40.665
2016-08-08,41.59
2016-08-09,42.055
2016-08-10,41.34
2016-08-11,40.49
2016-08-12,42.89
2016-08-13,43.54
2016-08-14,43.17
2016-08-15,44.43
2016-08-16,45.74
2016-08-17,45.85
2016-08-18,46.65
2016-08-19,47.26
2016-08-20,45.615
2016-08-21,46.305
2016-08-22,46.85
2016-08-23,45.38
2016-08-24,45.96
2016-08-25,45.59
2016-08-26,44.62
2016-08-27,46.06
2016-08-28,45.19
2016-08-29,45.82
2016-08-30,46.16
2016-08-31,44.79
2016-09-01,42.98
2016-09-02,41.71
2016-09-03,44.095
2016-09-04,43.325
2016-09-05,44.28
2016-09-06,43.4
2016-09-07,43.67
2016-09-08,44.83
2016-09-09,45.45
2016-09-10,43.68
2016-09-11,44.2
2016-09-12,43.745
2016-09-13,43.69
2016-09-14,43.57
2016-09-15,42.04
2016-09-16,42.34
2016-09-17,42.78
2016-09-18,42.56
2016-09-19,42.43
2016-09-20,41.99
2016-09-21,43.08
2016-09-22,43.58
2016-09-23,43.39
2016-09-24,43.105
2016-09-25,42.975
2016-09-26,42.15
2016-09-27,43.13
2016-09-28,42.37
2016-09-29,44.65
2016-09-30,45.11
2016-10-01,45.1
2016-10-02,46.74
2016-10-03,47.87
2016-10-04,47.83
2016-10-05,48.83
2016-10-06,48.77
2016-10-07,50.07
2016-10-08,49.42
2016-10-09,49.4
2016-10-10,48.9
2016-10-11,50.01
2016-10-12,50.03
2016-10-13,49.07
2016-10-14,49.88
2016-10-15,49.63
2016-10-16,49.37
2016-10-17,49.12
2016-10-18,49.23
2016-10-19,49.67
2016-10-20,49.66
2016-10-21,48.82
2016-10-22,49.435
2016-10-23,48.785
2016-10-24,49.48
2016-10-25,49.2
2016-10-26,47.91
2016-10-27,48.16
2016-10-28,48.4
2016-10-29,46.665
2016-10-30,46.12
2016-10-31,47.44
2016-11-01,45.42
2016-11-02,44.08
2016-11-03,43.52
2016-11-04,42.84
2016-11-05,43.475
2016-11-06,43.045
2016-11-07,42.69
2016-11-08,42.87
2016-11-09,42.57
2016-11-10,43.67
2016-11-11,43.7
2016-11-12,42.27
2016-11-13,43.56
2016-11-14,41.95
2016-11-15,41.97
2016-11-16,43.45
2016-11-17,43.47
2016-11-18,42.8
2016-11-19,44.765
2016-11-20,44.77
2016-11-21,44.47
2016-11-22,46.08
2016-11-23,46.07
2016-11-24,45.67
2016-11-25,45.97
2016-11-26,45.36
2016-11-27,44.895
2016-11-28,43.76
2016-11-29,44.65
2016-11-30,44.12
2016-12-01,49.02
2016-12-02,50.39
2016-12-03,47.885
2016-12-04,49.685
2016-12-05,51.64
2016-12-06,51.65
2016-12-07,50.35
2016-12-08,50.3
2016-12-09,51.32
2016-12-10,51.6
2016-12-11,51.495
2016-12-12,54.18
2016-12-13,52.85
2016-12-14,52.69
2016-12-15,51.65
2016-12-16,51.69
2016-12-17,52.39
2016-12-18,52.26
2016-12-19,52.86
2016-12-20,52.09
2016-12-21,52.87
2016-12-22,51.78
2016-12-23,52.21
2016-12-24,52.795
2016-12-25,52.755
2016-12-26,53.055
2016-12-27,52.72
2016-12-28,53.73
2016-12-29,53.9
2016-12-30,53.83
2016-12-31,53.83
2017-01-01,54.65
2017-01-02,54.65
2017-01-03,54.65
2017-01-04,53.99
2017-01-05,54.28
2017-01-06,54.25
2017-01-07,53.565
2017-01-08,53.25
2017-01-09,54.35
2017-01-10,53.14
2017-01-11,52.22
2017-01-12,53.45
2017-01-13,54.3
2017-01-14,53.05
2017-01-15,53.645
2017-01-16,53.29
2017-01-17,53.88
2017-01-18,53.84
2017-01-19,53.03
2017-01-20,52.91
2017-01-21,53.91
2017-01-22,53.25
2017-01-23,53.52
2017-01-24,53.98
2017-01-25,53.47
2017-01-26,53.86
2017-01-27,54.49
2017-01-28,53.345
2017-01-29,54.4
2017-01-30,53.23
2017-01-31,53.22
2017-02-01,54.94
2017-02-02,55.45
2017-02-03,54.265
2017-02-04,54.555
2017-02-05,54.4
2017-02-06,55.31
2017-02-07,54.17
2017-02-08,53.35
2017-02-09,53.79
2017-02-10,53.78
2017-02-11,53.745
2017-02-12,53.895
2017-02-13,54.76
2017-02-14,54.14
2017-02-15,54
2017-02-16,53.95
2017-02-17,54.06
2017-02-18,54.32
2017-02-19,54.315
2017-02-20,54.46
2017-02-21,54.64
2017-02-22,54.68
2017-02-23,54.75
2017-02-24,54.7
2017-02-25,53.565
2017-02-26,54.94
2017-02-27,55.18
2017-02-28,53.565
2017-03-01,55.13
2017-03-02,54.85
2017-03-03,53.68
2017-03-04,54.785
2017-03-05,54.435
2017-03-06,53.85
2017-03-07,54.44
2017-03-08,54.02
2017-03-09,52.52
2017-03-10,51.16
2017-03-11,51.92
2017-03-12,51.265
2017-03-13,50.04
2017-03-14,49.82
2017-03-15,50.01
2017-03-16,50.64
2017-03-17,50.13
2017-03-18,50.215
2017-03-19,49.83
2017-03-20,50.05
2017-03-21,50.42
2017-03-22,49.02
2017-03-23,49.17
2017-03-24,48.97
2017-03-25,49.125
2017-03-26,49.655
2017-03-27,48.84
2017-03-28,49.23
2017-03-29,50.14
2017-03-30,50.71
2017-03-31,50.78
2017-04-01,50.62
2017-04-02,51.85
2017-04-03,51.67
2017-04-04,51.1
2017-04-05,52.99
2017-04-06,52.64
2017-04-07,53.94
2017-04-08,53.66
2017-04-09,53.625
2017-04-10,53.88
2017-04-11,54.33
2017-04-12,54.61
2017-04-13,54.16
2017-04-14,53.91
2017-04-15,53.865
2017-04-16,53.6
2017-04-17,53.49
2017-04-18,53.12
2017-04-19,53.04
2017-04-20,51.46
2017-04-21,51.36
2017-04-22,51.585
2017-04-23,51.015
2017-04-24,50.94
2017-04-25,50.13
2017-04-26,50.57
2017-04-27,50.02
2017-04-28,50.16
2017-04-29,53.565
2017-04-30,50.16
2017-05-01,49.4925
2017-05-02,53.565
2017-05-03,49.68
2017-05-04,48.825
2017-05-05,47.97
2017-05-06,49.03
2017-05-07,48.9175
2017-05-08,48.805
2017-05-09,48.38
2017-05-10,49.01
2017-05-11,49.64
2017-05-12,49.46
2017-05-13,50.05
2017-05-14,50.03
2017-05-15,50.82
2017-05-16,51.09
2017-05-17,50.42
2017-05-18,51
2017-05-19,51.96
2017-05-20,51.365
2017-05-21,52.05
2017-05-22,52.79
2017-05-23,52.31
2017-05-24,53.1
2017-05-25,52.78
2017-05-26,50.42
2017-05-27,51.79
2017-05-28,51.435
2017-05-29,50.65
2017-05-30,50.48
2017-05-31,50.09
2017-06-01,50.16
2017-06-02,48.34
2017-06-03,48.99
2017-06-04,49.29
2017-06-05,48.77
2017-06-06,47.89
2017-06-07,48.42
2017-06-08,47.07
2017-06-09,46.46
2017-06-10,47.86
2017-06-11,46.955
2017-06-12,47.02
2017-06-13,47.3
2017-06-14,46.84
2017-06-15,45.37
2017-06-16,45.88
2017-06-17,46.23
2017-06-18,44.845
2017-06-19,45.68
2017-06-20,45.62
2017-06-21,44.32
2017-06-22,43.5
2017-06-23,44.17
2017-06-24,44.675
2017-06-25,44.4
2017-06-26,45.265
2017-06-27,45.03
2017-06-28,45.3
2017-06-29,46.36
2017-06-30,46.47
2017-07-01,46.865
2017-07-02,47.35
2017-07-03,47.62
2017-07-04,48.43
2017-07-05,48.34
2017-07-06,47.07
2017-07-07,46.05
2017-07-08,46.805
2017-07-09,46.945
2017-07-10,45.24
2017-07-11,45.27
2017-07-12,46.82
2017-07-13,46.1
2017-07-14,46.99
2017-07-15,47.01
2017-07-16,46.755
2017-07-17,47.65
2017-07-18,47.2
2017-07-19,47.41
2017-07-20,48.33
2017-07-21,48.17
2017-07-22,47.355
2017-07-23,48.69
2017-07-24,46.51
2017-07-25,47.3
2017-07-26,49.05
2017-07-27,49.35
2017-07-28,49.72
2017-07-29,50.135
2017-07-30,49.82
2017-07-31,50.38
2017-08-01,51.22
2017-08-02,50.29
2017-08-03,50.83
2017-08-04,50.36
2017-08-05,50.765
2017-08-06,51.13
2017-08-07,50.8
2017-08-08,51.24
2017-08-09,51.43
2017-08-10,51.62
2017-08-11,49.86
2017-08-12,50.345
2017-08-13,50.575
2017-08-14,50.36
2017-08-15,49.26
2017-08-16,49.53
2017-08-17,48.65
2017-08-18,49.26
2017-08-19,49.75
2017-08-20,49.29
2017-08-21,50.72
2017-08-22,49.97
2017-08-23,49.93
2017-08-24,50.55
2017-08-25,50.56
2017-08-26,50.015
2017-08-27,50.24
2017-08-28,50.55
2017-08-29,50.1
2017-08-30,49.93
2017-08-31,49.26
2017-09-01,50.35
2017-09-02,50.475
2017-09-03,50.7
2017-09-04,50.6
2017-09-05,51.02
2017-09-06,52.14
2017-09-07,52.99
2017-09-08,53.18
2017-09-09,52.155
2017-09-10,52.93
2017-09-11,52.14
2017-09-12,52.17
2017-09-13,52.87
2017-09-14,53.57
2017-09-15,53.64
2017-09-16,53.47
2017-09-17,53.75
2017-09-18,54.19
2017-09-19,54.07
2017-09-20,53.93
2017-09-21,54.65
2017-09-22,54.66
2017-09-23,55.04
2017-09-24,55.15
2017-09-25,54.83
2017-09-26,56.15
2017-09-27,55.65
2017-09-28,55.55
2017-09-29,55.19
2017-09-30,55.05
2017-10-01,54.735
2017-10-02,55.16
2017-10-03,54.45
2017-10-04,53.92
2017-10-05,54.35
2017-10-06,55.27
2017-10-07,54
2017-10-08,54.565
2017-10-09,53.76
2017-10-10,54.08
2017-10-11,54.78
2017-10-12,54.97
2017-10-13,55.4
2017-10-14,55.555
2017-10-15,55.7675
2017-10-16,55.98
2017-10-17,56.33
2017-10-18,55.92
2017-10-19,55.51
2017-10-20,55.13
2017-10-21,55.6
2017-10-22,55.855
2017-10-23,55.85
2017-10-24,55.28
2017-10-25,56.2
2017-10-26,56.21
2017-10-27,57
2017-10-28,57.26
2017-10-29,57.91
2017-10-30,58.33
2017-10-31,58.32
2017-11-01,59.61
2017-11-02,58.58
2017-11-03,58.93
2017-11-04,61
2017-11-05,60.19
2017-11-06,60.58
2017-11-07,62.39
2017-11-08,61.8
2017-11-09,61.61
2017-11-10,62.06
2017-11-11,61.525
2017-11-12,60.825
2017-11-13,61.63
2017-11-14,61.25
2017-11-15,60.04
2017-11-16,60.29
2017-11-17,59.66
2017-11-18,60.26
2017-11-19,60.705
2017-11-20,60.68
2017-11-21,60.48
2017-11-22,61.12
2017-11-23,61.13
2017-11-24,61.62
2017-11-25,61.185
2017-11-26,61.05
2017-11-27,61.5
2017-11-28,61.25
2017-11-29,60.97
2017-11-30,60.82
2017-12-01,60.8
2017-12-02,60.595
2017-12-03,60.77
2017-12-04,60.99
2017-12-05,60.22
2017-12-06,60.72
2017-12-07,59.43
2017-12-08,60.26
2017-12-09,61.62
2017-12-10,60.38
2017-12-11,60.96
2017-12-12,62.52
2017-12-13,61.33
2017-12-14,60.23
2017-12-15,61.18
2017-12-16,61.365
2017-12-17,60.915
2017-12-18,61.28
2017-12-19,61.4
2017-12-20,61.6
2017-12-21,62.17
2017-12-22,62.37
2017-12-23,62.105
2017-12-24,63.055
2017-12-25,63.11
2017-12-26,62.61
2017-12-27,63.94
2017-12-28,63.85
2017-12-29,64.33
2017-12-30,64.33
2017-12-31,64.33
2018-01-01,64.37
2018-01-02,64.37
2018-01-03,64.15
2018-01-04,65.35
2018-01-05,65.33
2018-01-06,65.195
2018-01-07,65.42
2018-01-08,65.04
2018-01-09,65.51
2018-01-10,66.59
2018-01-11,66.5
2018-01-12,66.29
2018-01-13,66.765
2018-01-14,66.69
2018-01-15,67.03
2018-01-16,67.09
2018-01-17,66.27
2018-01-18,66.42
2018-01-19,65.95
2018-01-20,66.255
2018-01-21,66.22
2018-01-22,66.09
2018-01-23,66.49
2018-01-24,66.86
2018-01-25,67.98
2018-01-26,67.4
2018-01-27,67.765
2018-01-28,66.89
2018-01-29,67.55
2018-01-30,66.38
2018-01-31,65.77
2018-02-01,66.12
2018-02-02,67.02
2018-02-03,65.595
2018-02-04,65.635
2018-02-05,65.07
2018-02-06,64.25
2018-02-07,64.05
2018-02-08,62.26
2018-02-09,61.12
2018-02-10,61.275
2018-02-11,60.48
2018-02-12,60.29
2018-02-13,59.84
2018-02-14,59.4
2018-02-15,61.67
2018-02-16,60.2
2018-02-17,61.72
2018-02-18,61
2018-02-19,61.77
2018-02-20,62.05
2018-02-21,61.3
2018-02-22,61.6
2018-02-23,62.77
2018-02-24,62.75
2018-02-25,63.395
2018-02-26,63.9
2018-02-27,64.02
2018-02-28,63.22
2018-03-01,61.42
2018-03-02,60.28
2018-03-03,61.37
2018-03-04,61.16
2018-03-05,61.32
2018-03-06,62.04
2018-03-07,61.61
2018-03-08,60.8
2018-03-09,60.28
2018-03-10,61.255
2018-03-11,60.765
2018-03-12,61.71
2018-03-13,61.25
2018-03-14,61.23
2018-03-15,61.45
2018-03-16,61.74
2018-03-17,61.965
2018-03-18,62.36
2018-03-19,62.48
2018-03-20,62.98
2018-03-21,63.89
2018-03-22,65.44
2018-03-23,65.33
2018-03-24,65.705
2018-03-25,65.58
2018-03-26,65.97
2018-03-27,65.83
2018-03-28,65.24
2018-03-29,65.33
2018-03-30,61.72
2018-03-31,66.06
2018-04-01,61.72
2018-04-02,66.79
2018-04-03,65.16
2018-04-04,64.7
2018-04-05,65.38
2018-04-06,65.37
2018-04-07,65.04
2018-04-08,65.94
2018-04-09,64.7
2018-04-10,66.51
2018-04-11,67.58
2018-04-12,68.63
2018-04-13,69.04
2018-04-14,68.405
2018-04-15,68.635
2018-04-16,68.18
2018-04-17,68.23
2018-04-18,68.81
2018-04-19,70.75
2018-04-20,70.42
2018-04-21,70.52
2018-04-22,70.83
2018-04-23,70.29
2018-04-24,71.24
2018-04-25,70.36
2018-04-26,70.63
2018-04-27,70.88
2018-04-28,70.34
2018-04-29,70
2018-04-30,70.05
2018-05-01,70.27
2018-05-02,70.25
2018-05-03,70.54
2018-05-04,70.47
2018-05-05,71.5
2018-05-06,71.475
2018-05-07,72.46
2018-05-08,72.48
2018-05-09,73.93
2018-05-10,74.73
2018-05-11,74.46
2018-05-12,74.25
2018-05-13,74.88
2018-05-14,73.77
2018-05-15,75.3
2018-05-16,75.1
2018-05-17,76.67
2018-05-18,77.06
2018-05-19,76.55
2018-05-20,77.17
2018-05-21,76.43
2018-05-22,77.28
2018-05-23,76.65
2018-05-24,77.03
2018-05-25,75.78
2018-05-26,75.135
2018-05-27,70.34
2018-05-28,73.24
2018-05-29,70.34
2018-05-30,73.53
2018-05-31,75.45
2018-06-01,75.11
2018-06-02,74.925
2018-06-03,74.36
2018-06-04,74.4
2018-06-05,73.61
2018-06-06,73.75
2018-06-07,73.58
2018-06-08,74.87
2018-06-09,73.97
2018-06-10,74.81
2018-06-11,74.36
2018-06-12,74.75
2018-06-13,73.48
2018-06-14,74.31
2018-06-15,70.34
2018-06-16,72.64
2018-06-17,70.34
2018-06-18,70.97
2018-06-19,72.07
2018-06-20,72.65
2018-06-21,71.25
2018-06-22,71.77
2018-06-23,72.03
2018-06-24,72.4
2018-06-25,72.81
2018-06-26,73.03
